Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address ,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards
Elliot Edwards,29,63,1990,9,Female,8677 Littlewood Lane,Greeley,CO,80634,40.42,-104.74,"$22,427 ","$45,727 ","$94,016 ",629,1
Romina Garcia,18,67,2002,1,Female,829 Fourth Boulevard,Cranston,RI,2921,41.76,-71.48,"$33,914 ","$69,149 ","$89,214 ",776,1
Keanu Chen,34,62,1985,10,Male,74786 Jefferson Drive,Traverse City,MI,49686,44.75,-85.6,"$20,325 ","$41,442 ","$78,833 ",712,3
Poppy Flores,48,62,1971,5,Female,781 East Street,San Antonio,TX,78207,29.45,-98.5,"$10,059 ","$20,513 ","$32,509 ",599,1
Riya Cruz,41,68,1978,4,Female,40 Washington Drive,Boise City,OK,73933,36.73,-102.51,"$11,342 ","$23,123 ","$5,079 ",723,6
Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,Henderson,TX,75652,32.15,-94.79,"$17,898 ","$36,497 ","$38,333 ",719,6
Anahi Rogers,76,71,1943,8,Female,172 Birch Street Apt. 9,Flagstaff,AZ,86004,35.29,-111.32,"$21,950 ","$27,484 ","$16,803 ",660,4
Cayden Rivera,22,68,1997,11,Male,8145 Spruce Boulevard Apt. 635,Charlotte,NC,28269,35.19,-80.83,"$26,481 ","$53,995 ","$89,056 ",683,3
Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,Tucson,AZ,85711,32.21,-110.88,"$17,460 ","$35,602 ","$55,369 ",661,5
Blaine Murphy,28,57,1991,8,Male,2473 Lake Avenue Apt. 6,Helena,GA,31037,32.07,-82.91,"$12,321 ","$25,122 ","$43,205 ",819,3
Grayson Diaz,18,65,2002,1,Male,970 Essex Drive Apt. 39,Portola Valley,CA,94028,37.37,-122.21,"$106,305 ","$216,740 ",$0 ,700,2
Yadiel Miller,76,66,1943,6,Male,9186 Washington Avenue,Cleveland,OH,44134,41.47,-81.67,"$19,524 ","$41,109 ","$21,486 ",698,2
Roland King,70,64,1949,4,Male,5073 Wessex Avenue,Tyronza,AR,72386,35.49,-90.35,"$14,172 ","$26,858 ","$11,245 ",712,2
Cole Xi,45,65,1975,1,Male,195 Eighth Boulevard,Central Point,OR,97502,42.39,-122.93,"$17,131 ","$34,929 ","$63,849 ",714,1
Jade Green,36,63,1983,8,Female,801 Mill Boulevard,Mesa,AZ,85201,33.44,-111.85,"$16,829 ","$34,317 ","$61,826 ",610,3
Amaya Stewart,40,66,1979,4,Female,6914 Wessex Avenue Apt. 7043,Houston,TX,77061,29.76,-95.38,"$15,389 ","$31,377 ","$59,615 ",722,2
Grant Gray,37,58,1982,9,Male,776 Norfolk Boulevard,Van Nuys,CA,91411,34.17,-118.46,"$21,402 ","$43,638 ","$104,052 ",627,1
Oliver Reed,41,67,1978,11,Male,2015 Bayview Avenue Apt. 8,Cookeville,TN,38501,36.15,-85.5,"$15,955 ","$32,531 ","$38,260 ",766,2
Aminah Collins,37,72,1983,2,Female,108 Washington Street Apt. 65,Whites Creek,TN,37189,36.28,-86.83,"$20,657 ","$42,120 ","$72,801 ",739,4
Ulises Neufelder,18,64,2001,5,Male,660 Seventh Drive Apt. 6,Columbus,OH,43230,39.98,-82.98,"$28,092 ","$57,281 ","$89,114 ",850,1
Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,Miami,FL,33175,25.77,-80.2,"$18,828 ","$38,390 ","$87,923 ",783,4
Madalynn Gutierrez,33,69,1986,9,Female,4930 Birch Drive,Southport,NC,28461,33.92,-78.02,"$17,498 ","$35,670 ","$58,182 ",751,2
Rosa Faraday,21,66,1998,9,Female,93 Plum Lane,Old Saybrook,CT,6475,41.29,-72.36,"$30,281 ","$61,746 ","$154,817 ",637,2
Brynn Allen,47,65,1972,11,Female,837 Lincoln Avenue,Mobile,AL,36693,30.68,-88.04,"$21,331 ","$43,496 ","$114,563 ",765,3
Aden Adams,41,55,1978,8,Male,7467 Spruce Drive,Sacramento,CA,95829,38.48,-121.34,"$25,431 ","$51,854 ","$72,162 ",737,2
Haylee Baker,51,68,1968,4,Female,6323 Sussex Boulevard,Chula Vista,CA,91911,32.61,-117.03,"$16,942 ","$34,540 ","$22,641 ",793,5
Nehemiah Turner,46,62,1973,11,Male,8738 Fourth Street,Hanover Park,IL,60133,41.97,-88.14,"$20,248 ","$41,287 ","$88,151 ",662,1
Simon Adams,46,70,1973,10,Male,9344 Mill Drive,Seaside,CA,93955,36.62,-121.82,"$18,663 ","$38,054 ","$63,293 ",666,1
Sunny King,59,62,1961,2,Female,299 11th Street,Northborough,MA,1532,42.31,-71.64,"$39,418 ","$80,371 ","$108,499 ",822,1
Harper Jackson,91,68,1929,2,Female,5492 Maple Drive Apt. 2,Overland Park,KS,66221,38.9,-94.68,"$51,642 ","$84,694 ","$2,149 ",741,7
Thomas Burns,79,72,1941,2,Male,829 Birch Boulevard Apt. 81,Corpus Christi,TX,78410,27.8,-97.39,"$23,608 ","$37,503 ","$14,272 ",706,5
Titan Flores,57,75,1962,12,Male,41011 Seventh Boulevard,Chandler,AZ,85226,33.27,-111.94,"$32,056 ","$65,357 ","$21,844 ",685,4
Leslie Myers,26,52,1994,1,Female,613 Little Creek Lane Apt. 848,Immokalee,FL,34142,26.41,-81.42,"$10,819 ","$22,066 ","$38,967 ",842,1
Joaquin Parker,42,66,1977,11,Male,1942 Rose Avenue,Port Orange,FL,32128,29.1,-81,"$21,916 ","$44,681 ","$42,011 ",770,3
Butch Brooks,26,69,1994,2,Male,5101 Birch Lane,Maryland Heights,MO,63043,38.72,-90.47,"$25,163 ","$51,306 ","$68,198 ",675,1
Kiera Allen,18,59,2002,2,Female,7 11th Drive,San Antonio,TX,78210,29.45,-98.5,"$12,677 ","$25,847 ","$46,379 ",568,1
Lylah Peres,60,64,1959,11,Female,2468 Spruce Drive Apt. 78,Longwood,FL,32750,28.7,-81.34,"$22,896 ","$46,683 ","$93,126 ",788,5
Ty Jackson,61,66,1958,11,Male,8001 Essex Boulevard,Milwaukee,WI,53210,43.06,-87.96,"$15,487 ","$31,579 ","$52,419 ",771,3
Bodhi Nguyen,47,65,1972,10,Male,708 George Street,Camilla,GA,31730,31.22,-84.21,"$13,759 ","$28,055 ","$12,475 ",829,3
Chaya Howard,42,68,1977,12,Female,28 Hillside Boulevard Apt. 4,Canton,MI,48188,42.3,-83.48,"$32,078 ","$65,403 ","$80,057 ",784,4
Kyleigh Rogers,55,73,1964,11,Female,446 Birch Drive,La Follette,TN,37766,36.37,-84.12,"$13,522 ","$27,572 ","$59,404 ",797,1
Mikaela Martin,48,70,1971,12,Female,578 Maple Avenue,Inman,SC,29349,35.05,-82.09,"$18,899 ","$38,539 ",$0 ,850,3
Luella Perry,41,57,1978,7,Female,14 Valley Drive,Poca,WV,25159,38.47,-81.81,"$18,666 ","$38,059 ","$68,220 ",634,2
Lainey Gutierrez,59,68,1960,11,Female,2475 Little Creek Boulevard,Leander,TX,78641,30.56,-97.86,"$25,872 ","$52,754 ","$38,191 ",693,5
Marvin Anwar,45,59,1975,2,Male,9604 Catherine Drive,Rego Park,NY,11374,40.72,-73.86,"$25,109 ","$51,196 ","$67,164 ",631,4
Holden Taylor,26,70,1993,7,Male,349 First Drive,Atlanta,GA,30318,33.78,-84.44,"$24,382 ","$49,713 ","$91,776 ",763,1
Aiyana Abe,21,68,1998,4,Female,7914 Essex Boulevard Apt. 46,Toledo,OH,43623,41.66,-83.58,"$21,660 ","$44,160 ","$134,173 ",696,3
Milani Merkel,46,59,1973,5,Female,524 Ocean Drive Apt. 87,Houston,TX,77056,29.76,-95.38,"$95,039 ","$193,773 ","$241,571 ",660,1
Princess Cooper,41,66,1979,2,Female,2079 Maple Drive,Mount Union,PA,17066,40.38,-77.88,"$14,650 ","$29,864 ","$44,902 ",717,2
Wyatt Davis,22,67,1997,7,Male,295 Valley Drive,San Antonio,TX,78232,29.45,-98.5,"$28,135 ","$57,367 ","$115,418 ",795,2
Nathalie Faraday,63,58,1957,2,Female,2883 Ocean View Boulevard Apt. 1,Black Diamond,WA,98010,47.32,-121.99,"$32,697 ","$56,635 ","$13,015 ",786,8
Erik Chen,44,67,1975,3,Male,5125 Elm Drive,Ogden,UT,84414,41.31,-111.96,"$23,165 ","$47,227 ","$151,030 ",760,4
Gatlin Morris,22,68,1997,10,Male,4098 Park Drive Apt. 8,Fort Worth,TX,76115,32.75,-97.33,"$12,051 ","$24,574 ","$80,667 ",674,3
Eloise Bennett,29,65,1991,1,Female,892 Spruce Street,Saint Albans,NY,11412,40.69,-73.75,"$21,283 ","$43,397 ","$42,168 ",697,2
Leighton Wood,28,72,1991,6,Female,9977 Oak Avenue,Oxford,MD,21654,38.68,-76.17,"$28,497 ","$58,105 ","$70,254 ",688,3
Layne Butler,82,67,1937,6,Male,79 South Boulevard,Gonzales,TX,78629,29.5,-97.44,"$15,092 ","$10,869 ","$1,820 ",820,2
Janiyah Foster,90,66,1929,6,Female,145 River Drive,Allentown,PA,18102,40.59,-75.47,"$12,427 ","$19,893 ","$1,712 ",566,3
Jagger Braun,63,65,1956,8,Male,7605 Essex Boulevard,Mount Vernon,OH,43050,40.39,-82.47,"$18,019 ","$36,743 ","$71,719 ",612,2
Brianna Powell,49,70,1970,7,Female,480 Seventh Lane Apt. 1,Trenton,NJ,8610,40.22,-74.76,"$22,747 ","$46,377 ","$79,980 ",719,3
Elle Clark,36,69,1983,10,Female,5506 Fifth Boulevard Apt. 8012,Gardena,CA,90248,33.88,-118.27,"$24,611 ","$50,179 ","$110,515 ",743,1
Nathan Merkel,30,65,1989,11,Male,136 Spruce Street,Petaluma,CA,94955,38.22,-122.55,"$26,748 ","$54,537 ","$121,987 ",765,4
Kristopher Nelson,23,66,1996,12,Male,306 First Drive Apt. 62,Apopka,FL,32712,28.68,-81.51,"$24,155 ","$49,255 ","$6,557 ",823,2
Asher Ortiz,42,65,1977,10,Male,272 Burns Boulevard,Summit Argo,IL,60501,41.77,-87.82,"$15,221 ","$31,031 ","$21,853 ",744,7
Tristian Walker,65,66,1955,1,Male,190 Sixth Drive,Rockwall,TX,75032,32.92,-96.45,"$34,659 ","$70,673 ","$87,605 ",714,4
Emily Parker,87,57,1932,10,Female,8569 Wessex Boulevard,Birmingham,AL,35211,33.52,-86.79,"$13,263 ","$16,342 ","$1,758 ",747,5
Dangelo Ortiz,22,65,1997,9,Male,385 Lexington Boulevard Apt. 4,Seminole,TX,79360,32.71,-102.65,"$15,183 ","$30,961 ","$42,597 ",677,1
Ariana Cook,58,67,1961,3,Female,407 Park Lane,Islandton,SC,29929,32.9,-80.93,"$14,864 ","$30,305 ","$23,392 ",776,3
Santana Myers,30,68,1989,3,Male,5142 Little Creek Street,Edmond,OK,73034,35.67,-97.41,"$33,736 ","$68,784 ","$198,417 ",696,4
Faye Walker,25,71,1994,8,Female,224 Mountain View Boulevard,Kalispell,MT,59901,48.19,-114.38,"$17,040 ","$34,745 ","$26,503 ",691,4
Rebecca Gonzalez,18,67,2001,11,Female,4735 Fifth Avenue Apt. 1,Baton Rouge,LA,70808,30.44,-91.12,"$31,741 ","$64,715 ","$174,664 ",740,3
Nadia Perry,59,69,1961,2,Female,4793 North Street Apt. 17,Mars,PA,16046,40.69,-80.01,"$39,464 ","$80,464 ","$76,261 ",727,3
Lizbeth Baker,18,67,2002,2,Female,72 El Camino Boulevard,Pittsburgh,PA,15220,40.43,-79.97,"$24,400 ","$49,748 ","$23,161 ",748,1
Bryan Fox,61,58,1958,11,Male,381 Fifth Lane Apt. 6,Ontario,CA,91764,34.07,-117.62,"$16,113 ","$41,904 ","$12,545 ",655,4
Juliette Howard,54,70,1965,9,Female,393 Mountain View Lane,Newport Coast,CA,92657,33.6,-117.82,"$96,516 ","$196,784 ","$437,533 ",729,3
Bella Kelley,27,66,1992,3,Female,293 Wessex Street Apt. 2,Northville,MI,48168,42.4,-83.6,"$49,458 ","$100,837 ","$61,377 ",687,2
Jordy Bailey,32,65,1987,6,Male,7276 Fourth Drive,Fenton,MI,48430,42.8,-83.71,"$25,334 ","$51,654 ","$95,454 ",600,4
Amelia Fernandez,64,69,1955,6,Female,327 Lafayette Boulevard Apt. 457,Lancaster,OH,43130,39.72,-82.59,"$18,680 ","$38,088 ","$51,679 ",691,2
Bjorn Schmidt,18,69,2001,8,Male,2846 Lake Avenue,Welsh,LA,70591,30.23,-92.81,"$18,082 ","$36,866 ",$0 ,680,2
Skylar James,52,70,1967,9,Male,2093 Ocean Street,Oakland,CA,94606,37.78,-122.24,"$18,443 ","$37,607 ","$63,689 ",749,5
Mae Farhad,49,66,1970,10,Female,981 Fifth Boulevard,Fort Morgan,CO,80701,40.26,-103.79,"$16,910 ","$34,480 ","$58,795 ",696,1
Nikolai Cruz,43,66,1977,1,Male,18 Norfolk Boulevard,Madison,WI,53716,43.07,-89.38,"$23,680 ","$48,279 ","$114,254 ",719,2
Jared Hill,36,65,1983,7,Male,977 Littlewood Avenue,Panama City,FL,32401,30.17,-85.67,"$16,133 ","$32,896 ","$69,800 ",735,2
Jeremias Russell,18,71,2001,6,Male,993 Mountain View Avenue,Perris,CA,92570,33.78,-117.33,"$14,667 ","$29,909 ","$42,832 ",664,2
Aubrielle Roman,37,64,1982,12,Female,896 Rose Street,Minneapolis,MN,55433,44.96,-93.26,"$23,278 ","$47,464 ","$83,591 ",716,1
Carla James,23,64,1996,5,Female,2418 Mill Drive Apt. 3999,San Jose,CA,95129,37.3,-122,"$41,750 ","$85,128 ","$108,678 ",641,1
Kase Nguyen,54,69,1965,9,Male,3683 Fifth Street Apt. 7760,Mount Holly,NC,28120,35.3,-81.03,"$22,487 ","$45,852 ","$114,746 ",615,2
Annalee Sanders,33,67,1986,7,Female,0 Elm Street,Glendale,AZ,85301,33.53,-112.18,"$13,024 ","$26,556 ","$43,042 ",840,2
Journee Collins,63,67,1956,11,Female,2302 Catherine Lane,Hollywood,FL,33024,26.02,-80.16,"$19,712 ","$40,194 ","$107,765 ",738,6
Trent Davis,22,67,1998,2,Male,213 Rose Drive,Irving,TX,75038,32.85,-96.96,"$30,475 ","$62,135 ","$75,209 ",676,2
Zavier Phillips,48,65,1972,1,Male,8975 Littlewood Boulevard,Cape Coral,FL,33914,26.63,-81.99,"$19,274 ","$39,303 ","$23,650 ",702,7
Ivory Peres,63,64,1956,3,Female,1389 Park Lane,Waldorf,MD,20603,38.64,-76.9,"$35,114 ","$71,593 ","$132,181 ",821,3
Ace Bailey,75,67,1944,12,Male,2890 Eighth Lane,Maywood,IL,60153,41.88,-87.84,"$15,451 ","$22,158 ","$19,101 ",681,5
Agustin Reyes,62,66,1957,6,Male,20 Littlewood Boulevard Apt. 5,Howard Beach,NY,11414,40.66,-73.84,"$26,481 ","$53,996 ","$98,211 ",632,4
Hannah Chen,28,73,1991,10,Female,6413 Second Street,Pensacola,FL,32505,30.44,-87.18,"$12,766 ","$26,025 ","$23,971 ",723,4
Zahra Williams,25,69,1994,11,Female,611 Elm Lane,Yonkers,NY,10710,40.94,-73.86,"$31,299 ","$63,816 ","$100,128 ",775,1
Estelle Richardson,56,73,1964,1,Female,889 Martin Luther King Avenue,Apex,NC,27502,35.72,-78.84,"$32,485 ","$66,230 ","$90,248 ",742,3
Lochlan Morris,56,56,1963,10,Male,336 Rose Avenue,Chicago,IL,60616,41.83,-87.68,"$25,365 ","$36,335 ","$28,929 ",676,2
Simone Carter,59,61,1961,2,Female,4254 Plum Lane,Westminster,CA,92683,33.74,-117.99,"$19,438 ","$39,633 ","$58,586 ",777,3
Zariah Mitchell,43,69,1976,8,Female,825 Sussex Avenue,Dyer,IN,46311,41.5,-87.5,"$28,048 ","$57,185 ",$0 ,773,3
Samuel Fu,37,69,1982,11,Male,185 Forest Drive,Marietta,GA,30068,33.95,-84.54,"$40,530 ","$82,637 ","$84,762 ",739,2
Virginia Gutierrez,60,57,1960,1,Female,561 Martin Luther King Avenue,Novi,MI,48375,42.47,-83.49,"$34,259 ","$31,121 ","$32,768 ",619,5
Isaias Robinson,47,67,1972,11,Male,335 Valley Stream Boulevard,Gonzales,TX,78629,29.5,-97.44,"$15,092 ","$30,774 ","$51,428 ",700,3
Eduardo Wood,48,67,1971,12,Male,1773 Hill Street,Shelbyville,IL,62565,39.4,-88.8,"$16,300 ","$33,236 ","$57,549 ",747,1
Parker Howard,35,65,1984,10,Male,55 Ocean View Street,Amarillo,TX,79110,35.2,-101.81,"$18,613 ","$37,947 ","$49,951 ",683,3
Kendrick Brooks,24,65,1995,11,Male,8245 El Camino Lane Apt. 5,Wichita,KS,67207,37.68,-97.34,"$21,518 ","$43,875 ","$128,146 ",639,1
Maci Diaz,26,66,1993,5,Female,9530 Washington Street,Novato,CA,94947,38.1,-122.63,"$30,335 ","$61,850 ","$81,158 ",728,9
Matias Farhad,28,71,1991,5,Male,221 Lexington Avenue,Savannah,GA,31420,32.08,-81.1,"$19,770 ","$40,314 ","$131,348 ",707,4
Silas Ward,26,67,1993,8,Male,2484 Norfolk Drive Apt. 1,Milford,DE,19963,38.91,-75.43,"$18,622 ","$37,968 ","$55,982 ",788,3
Roland Gonzalez,41,67,1978,11,Male,133 Grant Lane,Fremont,MI,49412,43.46,-85.95,"$17,145 ","$34,954 ","$45,456 ",772,3
Yehuda Jones,40,74,1979,9,Male,1977 Lake Avenue,Woodland Hills,CA,91364,34.15,-118.6,"$47,055 ","$95,945 ","$222,735 ",772,2
Kaelyn Anwar,18,58,2002,2,Female,352 George Street Apt. 6,Fort Gratiot,MI,48059,43.07,-82.49,"$16,598 ","$33,844 ","$42,109 ",684,2
Justice Ortiz,66,67,1953,4,Male,554 Grant Boulevard,Andover,KS,67002,37.69,-97.13,"$32,162 ","$65,573 ","$143,069 ",739,4
Messiah Bell,40,66,1979,7,Male,631 Ocean View Street Apt. 2,Madison,WI,53704,43.07,-89.38,"$23,840 ","$48,609 ","$43,520 ",737,3
Keira Wright,45,70,1974,5,Female,31 Jefferson Boulevard,Fernwood,ID,83830,47.09,-116.46,"$12,618 ","$25,723 ","$34,007 ",746,3
Caylee Gutierrez,19,72,2000,3,Female,973 Federal Avenue,Daphne,AL,36526,30.62,-87.89,"$25,495 ","$51,984 ","$79,152 ",691,3
Angel Hill,34,65,1986,2,Male,95266 Bayview Drive,Oakland,CA,94611,37.83,-122.22,"$52,813 ","$107,683 ","$225,017 ",694,3
Bridget Faraday,24,69,1996,2,Female,932 Essex Street Apt. 6,Perris,CA,92571,33.83,-117.2,"$16,109 ","$32,847 ","$33,514 ",721,2
Sebastian Lee,57,66,1963,1,Male,126 Valley Drive,Jackson,MS,39213,32.32,-90.2,"$11,061 ","$22,556 ","$43,260 ",645,4
Lizbeth Garcia,35,54,1984,9,Female,239 South Drive,Aberdeen,MD,21001,39.51,-76.17,"$22,590 ","$46,063 ","$106,528 ",618,1
Ximena Davis,19,65,2000,9,Female,1134 Valley Drive Apt. 2623,Farmington,CT,6032,41.71,-72.83,"$46,762 ","$95,348 ","$71,972 ",706,3
Haley Braun,28,65,1992,1,Female,5863 Grant Avenue,Wellsville,KS,66092,38.71,-95.08,"$22,158 ","$45,180 ","$13,168 ",698,2
Kalel Hughes,37,69,1982,4,Male,3472 11th Avenue Apt. 5,Orlando,FL,32822,28.5,-81.37,"$15,137 ","$30,865 ","$55,079 ",594,1
Korbin Roman,20,69,1999,11,Male,5590 Bayview Avenue Apt. 200,Avoca,MI,48006,43.05,-82.67,"$20,377 ","$41,543 ","$49,021 ",732,4
Kenny Gray,53,73,1966,9,Male,94 Jefferson Drive Apt. 8211,Tyler,TX,75706,32.32,-95.3,"$14,811 ","$30,198 ","$40,950 ",693,6
Adilynn Wood,45,64,1974,12,Female,582 Birch Boulevard,Fort Myers,FL,33901,26.63,-81.85,"$19,621 ","$40,006 ","$72,794 ",621,1
Kace Chen,53,68,1966,5,Male,809 Mountain View Boulevard,Olathe,KS,66062,38.88,-94.81,"$30,232 ","$61,646 ",$0 ,693,3
Abril Cook,39,67,1980,10,Female,6339 Fourth Street,Reisterstown,MD,21136,39.45,-76.81,"$33,175 ","$67,643 ",$0 ,714,6
Ivy Gutierrez,86,71,1933,5,Female,81 Hill Avenue Apt. 66,Detroit,MI,48235,42.38,-83.1,"$13,820 ","$22,650 ",$0 ,690,6
Garrett Macron,63,67,1956,10,Male,28136 Wessex Street,Brooklyn,NY,11212,40.64,-73.94,"$14,856 ","$30,288 ","$42,745 ",689,4
Nolan Sadr,67,65,1952,10,Male,8787 Rose Avenue,San Francisco,CA,94112,37.72,-122.44,"$22,549 ","$47,213 ","$1,082 ",789,5
Marianna Gutierrez,76,66,1943,10,Female,96 Ninth Lane,Konawa,OK,74849,34.95,-96.75,"$15,005 ","$28,215 ","$18,116 ",697,2
Stetson Thomas,32,55,1987,4,Male,3249 12th Drive,Woodinville,WA,98077,47.75,-122.04,"$51,751 ","$105,515 ","$192,458 ",646,4
Vicente Martinez,36,68,1983,12,Male,9340 Valley Street Apt. 20,Bradenton,FL,34207,27.48,-82.57,"$13,972 ","$28,489 ","$6,087 ",808,4
Amayah Thomas,63,69,1956,9,Female,6429 Fifth Avenue Apt. 42,Charlotte,NC,28226,35.19,-80.83,"$39,752 ","$81,048 ","$156,195 ",781,4
Zelda Ward,19,62,2000,12,Female,849 George Avenue,Easton,MD,21601,38.77,-76.06,"$23,180 ","$47,263 ","$74,853 ",726,2
Drake Howard,19,71,2000,7,Male,804 Seventh Boulevard,Redding,CA,96002,40.52,-122.32,"$16,585 ","$33,816 ","$77,770 ",635,1
Danielle Carter,25,69,1994,9,Female,76009 Valley Stream Boulevard,Waukegan,IL,60085,42.37,-87.86,"$15,770 ","$32,160 ","$62,803 ",634,1
Kora Bailey,83,65,1936,8,Female,387 Third Boulevard,Rio Rico,AZ,85648,31.5,-111.06,"$15,462 ","$29,494 ","$1,196 ",689,5
Emery Mitchell,68,63,1951,3,Female,6398 Lake Lane,Franklin,TN,37067,35.92,-86.84,"$36,563 ","$70,554 ","$39,078 ",655,5
Zayn Nguyen,63,62,1956,9,Male,786 12th Drive Apt. 10,Wheeling,IL,60090,42.13,-87.92,"$23,098 ","$33,686 ","$24,997 ",488,2
Myah Gray,92,72,1927,8,Female,290 Forest Street,Tucson,AZ,85749,32.28,-110.73,"$30,818 ","$57,732 ","$2,261 ",726,6
Cash Watson,21,65,1998,3,Male,320 Hillside Lane,Memphis,TN,38106,35.1,-90,"$10,730 ","$21,879 ","$69,638 ",762,1
Benson Xi,28,65,1991,5,Male,437 Ocean View Drive,State College,PA,16801,40.79,-77.85,"$25,031 ","$51,041 ","$106,989 ",686,1
Bjorn Perez,18,69,2002,1,Male,9850 Birch Drive,West Roxbury,MA,2132,42.28,-71.16,"$34,519 ","$70,380 ","$106,797 ",725,2
Edward Abe,25,64,1994,8,Male,55 Third Drive,Elmwood Park,IL,60707,41.92,-87.81,"$20,902 ","$42,617 ","$67,590 ",771,5
Shepard Lopez,75,65,1944,7,Male,177 Mill Boulevard,Manahawkin,NJ,8050,39.69,-74.25,"$21,861 ","$46,031 ","$8,332 ",661,5
Estrella Sullivan,55,66,1964,10,Female,886 Little Creek Drive,Delmar,NY,12054,42.62,-73.83,"$31,927 ","$65,094 ","$23,909 ",699,3
Jane Brooks,27,65,1993,2,Female,327 Seventh Boulevard,Lexington,KY,40517,38.04,-84.45,"$18,278 ","$37,268 ","$50,388 ",626,1
Zaria Brooks,53,67,1967,2,Female,8224 Fourth Drive,Waterbury,CT,6705,41.55,-73.03,"$19,114 ","$38,972 ","$44,098 ",738,3
Elsa Gonzalez,63,64,1957,2,Female,174 Catherine Boulevard Apt. 948,Compton,CA,90222,33.91,-118.23,"$13,075 ","$26,661 ","$42,667 ",750,5
Atticus Abe,48,66,1971,9,Male,496 Hill Lane,Minneapolis,MN,55419,44.96,-93.26,"$40,364 ","$82,295 ","$1,555 ",736,4
Alfonso Gao,47,68,1972,9,Male,23068 Park Street Apt. 2,Lansing,NC,28643,36.49,-81.5,"$12,630 ","$25,748 ","$41,455 ",738,3
Ronin White,56,65,1963,11,Male,27019 Madison Lane,Bean Station,TN,37708,36.34,-83.28,"$13,668 ","$27,861 ","$108,313 ",782,5
Gannon Baker,18,72,2001,12,Male,293 First Boulevard,Redlands,CA,92374,34.06,-117.17,"$23,820 ","$48,561 ",$0 ,752,1
Nicole Gomez,66,69,1953,4,Female,8929 Essex Drive,Bloomington,IN,47403,39.16,-86.52,"$19,125 ","$38,999 ","$64,875 ",747,4
Korbin Long,62,66,1957,4,Male,1569 George Boulevard,Bailey,NC,27807,35.78,-78.11,"$16,239 ","$33,112 ","$56,040 ",716,2
Melina Wright,34,66,1985,10,Female,326 Elm Lane Apt. 5,Charlotte,NC,28211,35.19,-80.83,"$49,477 ","$100,880 ","$210,445 ",770,1
Briar Smith,22,65,1997,11,Male,32 Valley Drive,Oxnard,CA,93031,34.21,-119.18,"$18,175 ","$37,058 ","$50,548 ",680,2
Yahya Anderson,24,58,1995,3,Male,4132 Norfolk Boulevard Apt. 3,Hyattsville,MD,20785,38.95,-76.95,"$23,166 ","$47,234 ","$89,154 ",685,3
Florence Masvidal,45,72,1974,5,Female,819 El Camino Boulevard,Cushing,OK,74023,35.97,-96.76,"$17,237 ","$35,142 ","$107,898 ",731,4
Danna Torres,43,65,1976,3,Female,742 Lake Street,Coos Bay,OR,97420,43.37,-124.14,"$15,069 ","$30,721 ","$49,961 ",749,3
Paityn King,56,67,1963,12,Female,607 George Boulevard,Acworth,GA,30101,34.05,-84.67,"$28,862 ","$58,846 ","$126,806 ",746,3
Layne Green,29,68,1990,6,Male,704 Eighth Avenue,Waterville,NY,13480,42.93,-75.38,"$19,161 ","$39,069 ","$63,884 ",720,2
