Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,User,CARD INDEX,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
Everlee Clark,63,63,1957,1,Female,3 Madison Street,,New York,NY,10069,40.71,-73.99,$163145,$249925,$202328,722,4,3,1,Debit (Prepaid),5581970288727991,06/2020,448,YES,1,$62,02/2007,2007,No
Everlee Clark,63,63,1957,1,Female,3 Madison Street,,New York,NY,10069,40.71,-73.99,$163145,$249925,$202328,722,4,3,2,Debit,4032240655674503,06/2022,53,YES,1,$132439,11/2010,2011,No
Everlee Clark,63,63,1957,1,Female,3 Madison Street,,New York,NY,10069,40.71,-73.99,$163145,$249925,$202328,722,4,3,3,Debit,4935974646456357,06/2020,649,YES,1,$125723,10/2009,2010,No
Kyle Peterson,43,70,1976,9,Male,9620 Valley Stream Drive,,San Francisco,CA,94117,37.76,-122.44,$53797,$109687,$183855,675,1,4,0,Debit,5905027855347659,01/2022,886,YES,1,$34900,12/1999,2012,No
Aldo Walker,42,70,1977,10,Male,58 Birch Lane,6.0,Davenport,IA,52803,41.55,-90.6,$20599,$41997,$0,704,3,5,0,Credit,4099623033306950,09/2021,74,YES,2,$9900,01/2002,2019,No
Aldo Walker,42,70,1977,10,Male,58 Birch Lane,6.0,Davenport,IA,52803,41.55,-90.6,$20599,$41997,$0,704,3,5,1,Debit,4281200324251212,07/2013,865,YES,2,$21587,09/2007,2007,No
Aldo Walker,42,70,1977,10,Male,58 Birch Lane,6.0,Davenport,IA,52803,41.55,-90.6,$20599,$41997,$0,704,3,5,2,Credit,4411456925570768,11/2022,922,YES,2,$15800,11/2005,2011,No
Katalina Lewis,36,67,1983,12,Female,5695 Fifth Street,1.0,Louisville,KY,40299,38.22,-85.74,$25258,$51500,$102286,672,3,6,0,Debit,5202477865497336,04/2022,861,YES,1,$29964,06/2005,2014,No
Katalina Lewis,36,67,1983,12,Female,5695 Fifth Street,1.0,Louisville,KY,40299,38.22,-85.74,$25258,$51500,$102286,672,3,6,1,Credit,5089768442116305,07/2023,686,YES,2,$11200,09/2010,2010,No
Katalina Lewis,36,67,1983,12,Female,5695 Fifth Street,1.0,Louisville,KY,40299,38.22,-85.74,$25258,$51500,$102286,672,3,6,2,Debit,5767339719294372,12/2021,669,NO,2,$26753,10/2014,2014,No
Ryland Howard,26,67,1993,12,Male,1941 Ninth Street,10.0,Portland,OR,97214,45.51,-122.64,$26790,$54623,$114711,728,1,7,0,Debit,4595831603224644,05/2023,689,NO,2,$17480,01/2020,2020,No
Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,,Telford,PA,18969,40.32,-75.32,$26273,$42509,$2895,755,5,8,0,Debit,5341049613275152,09/2021,396,YES,2,$26546,11/2009,2009,No
Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,,Telford,PA,18969,40.32,-75.32,$26273,$42509,$2895,755,5,8,1,Debit,5668831527649353,01/2021,356,YES,1,$23253,09/2017,2017,No
Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,,Telford,PA,18969,40.32,-75.32,$26273,$42509,$2895,755,5,8,2,Credit,4400056931148232,02/2021,497,YES,1,$16100,01/2005,2014,No
Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,,Telford,PA,18969,40.32,-75.32,$26273,$42509,$2895,755,5,8,3,Credit,4808554251869440,02/2021,921,YES,2,$8700,01/2012,2012,No
Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,,Telford,PA,18969,40.32,-75.32,$26273,$42509,$2895,755,5,8,4,Debit,5224739362243611,01/2019,922,YES,1,$29333,05/2012,2012,No
Sawyer Butler,34,60,1986,1,Female,887 Grant Street,,Abbeville,LA,70510,29.97,-92.12,$18730,$38190,$81262,810,1,9,0,Debit,5294178176133532,07/2024,265,YES,2,$9496,07/2009,2012,No
Antonio Ryan,27,66,1992,6,Male,888 Fifth Lane,10.0,Fair Oaks,CA,95628,38.65,-121.25,$27548,$56164,$15224,761,2,10,0,Debit,4857799018106614,07/2021,930,YES,1,$25499,02/2020,2020,No
Antonio Ryan,27,66,1992,6,Male,888 Fifth Lane,10.0,Fair Oaks,CA,95628,38.65,-121.25,$27548,$56164,$15224,761,2,10,1,Debit,4324062360619923,02/2020,358,YES,1,$18641,02/2020,2020,No
Elliot Edwards,29,63,1990,9,Female,8677 Littlewood Lane,,Greeley,CO,80634,40.42,-104.74,$22427,$45727,$94016,629,1,11,0,Debit,4852639114720724,05/2023,995,YES,1,$26019,01/2020,2020,No
Romina Garcia,18,67,2002,1,Female,829 Fourth Boulevard,,Cranston,RI,2921,41.76,-71.48,$33914,$69149,$89214,776,1,12,0,Debit,5656383455895230,01/2021,547,YES,1,$25845,02/2020,2020,No
Keanu Chen,34,62,1985,10,Male,74786 Jefferson Drive,,Traverse City,MI,49686,44.75,-85.6,$20325,$41442,$78833,712,3,13,0,Debit,4556928160477229,06/2023,64,YES,2,$2365,01/2007,2009,No
Keanu Chen,34,62,1985,10,Male,74786 Jefferson Drive,,Traverse City,MI,49686,44.75,-85.6,$20325,$41442,$78833,712,3,13,1,Debit,5515782790823587,06/2023,419,YES,2,$18684,07/2006,2017,No
Keanu Chen,34,62,1985,10,Male,74786 Jefferson Drive,,Traverse City,MI,49686,44.75,-85.6,$20325,$41442,$78833,712,3,13,2,Credit,4508388296516458,02/2021,364,NO,2,$7400,02/2020,2020,No
Poppy Flores,48,62,1971,5,Female,781 East Street,,San Antonio,TX,78207,29.45,-98.5,$10059,$20513,$32509,599,1,14,0,Debit,5548265564669334,12/2024,145,YES,2,$4147,12/2008,2016,No
Riya Cruz,41,68,1978,4,Female,40 Washington Drive,,Boise City,OK,73933,36.73,-102.51,$11342,$23123,$5079,723,6,15,0,Debit (Prepaid),4986270376099447,04/2022,385,YES,1,$76,12/2012,2012,No
Riya Cruz,41,68,1978,4,Female,40 Washington Drive,,Boise City,OK,73933,36.73,-102.51,$11342,$23123,$5079,723,6,15,1,Credit,6726060094896113,01/2009,105,NO,1,$4700,12/2008,2014,No
Riya Cruz,41,68,1978,4,Female,40 Washington Drive,,Boise City,OK,73933,36.73,-102.51,$11342,$23123,$5079,723,6,15,2,Credit,4157109762296149,06/2021,433,YES,2,$5800,08/2007,2011,No
Riya Cruz,41,68,1978,4,Female,40 Washington Drive,,Boise City,OK,73933,36.73,-102.51,$11342,$23123,$5079,723,6,15,3,Debit,5231462717450524,03/2024,754,YES,2,$12082,08/2016,2016,No
Riya Cruz,41,68,1978,4,Female,40 Washington Drive,,Boise City,OK,73933,36.73,-102.51,$11342,$23123,$5079,723,6,15,4,Credit,5074836567307562,03/2023,741,NO,2,$6000,06/2002,2010,No
Riya Cruz,41,68,1978,4,Female,40 Washington Drive,,Boise City,OK,73933,36.73,-102.51,$11342,$23123,$5079,723,6,15,5,Debit,4986369179342271,11/2009,367,YES,1,$620,02/2002,2014,No
Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,,Henderson,TX,75652,32.15,-94.79,$17898,$36497,$38333,719,6,16,0,Debit,5892013969159900,08/2022,879,YES,1,$14499,01/2008,2008,No
Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,,Henderson,TX,75652,32.15,-94.79,$17898,$36497,$38333,719,6,16,1,Debit,5179157151686144,07/2023,457,YES,2,$12332,08/2007,2009,No
Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,,Henderson,TX,75652,32.15,-94.79,$17898,$36497,$38333,719,6,16,2,Debit,5569640141329524,09/2024,904,YES,1,$18424,08/2013,2013,No
Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,,Henderson,TX,75652,32.15,-94.79,$17898,$36497,$38333,719,6,16,3,Credit,4708914311449293,07/2023,149,NO,1,$15400,08/2003,2008,No
Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,,Henderson,TX,75652,32.15,-94.79,$17898,$36497,$38333,719,6,16,4,Debit,4795724941278913,02/2022,136,YES,2,$14548,08/2007,2013,No
Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,,Henderson,TX,75652,32.15,-94.79,$17898,$36497,$38333,719,6,16,5,Credit,5300159511214994,12/2016,740,YES,2,$10100,09/2016,2016,No
Anahi Rogers,76,71,1943,8,Female,172 Birch Street,9.0,Flagstaff,AZ,86004,35.29,-111.32,$21950,$27484,$16803,660,4,17,0,Credit,6580244636542196,04/2011,416,YES,1,$11200,02/2004,2008,No
Anahi Rogers,76,71,1943,8,Female,172 Birch Street,9.0,Flagstaff,AZ,86004,35.29,-111.32,$21950,$27484,$16803,660,4,17,1,Debit,5032457975030967,10/2024,240,YES,2,$20291,12/2009,2011,No
Anahi Rogers,76,71,1943,8,Female,172 Birch Street,9.0,Flagstaff,AZ,86004,35.29,-111.32,$21950,$27484,$16803,660,4,17,2,Debit,4382324870900908,08/2018,852,YES,1,$32092,01/2006,2010,No
Anahi Rogers,76,71,1943,8,Female,172 Birch Street,9.0,Flagstaff,AZ,86004,35.29,-111.32,$21950,$27484,$16803,660,4,17,3,Debit,5456808094753905,02/2020,217,YES,1,$20463,01/2020,2020,No
Cayden Rivera,22,68,1997,11,Male,8145 Spruce Boulevard,635.0,Charlotte,NC,28269,35.19,-80.83,$26481,$53995,$89056,683,3,18,0,Debit,4465362453388909,08/2022,738,YES,1,$15802,01/2020,2020,No
Cayden Rivera,22,68,1997,11,Male,8145 Spruce Boulevard,635.0,Charlotte,NC,28269,35.19,-80.83,$26481,$53995,$89056,683,3,18,1,Debit,4668447208616693,02/2020,314,NO,2,$4612,02/2020,2020,No
Cayden Rivera,22,68,1997,11,Male,8145 Spruce Boulevard,635.0,Charlotte,NC,28269,35.19,-80.83,$26481,$53995,$89056,683,3,18,2,Credit,6377595394803324,07/2020,675,YES,2,$19900,01/2020,2020,No
Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,,Tucson,AZ,85711,32.21,-110.88,$17460,$35602,$55369,661,5,19,0,Debit (Prepaid),5117090980312402,10/2020,42,YES,1,$73,02/2000,2012,No
Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,,Tucson,AZ,85711,32.21,-110.88,$17460,$35602,$55369,661,5,19,1,Debit,5377858405611171,01/2024,24,YES,1,$11858,09/2009,2010,No
Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,,Tucson,AZ,85711,32.21,-110.88,$17460,$35602,$55369,661,5,19,2,Debit,5585238056278288,03/2005,749,YES,1,$9664,01/1998,2011,No
Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,,Tucson,AZ,85711,32.21,-110.88,$17460,$35602,$55369,661,5,19,3,Debit,5355281784290567,06/2020,810,YES,1,$8367,03/2009,2009,No
Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,,Tucson,AZ,85711,32.21,-110.88,$17460,$35602,$55369,661,5,19,4,Credit,4150093118072730,06/2022,135,YES,2,$6100,02/2004,2009,No
Blaine Murphy,28,57,1991,8,Male,2473 Lake Avenue,6.0,Helena,GA,31037,32.07,-82.91,$12321,$25122,$43205,819,3,20,0,Debit,5979295728871785,02/2020,630,YES,3,$9944,02/2020,2020,No
Blaine Murphy,28,57,1991,8,Male,2473 Lake Avenue,6.0,Helena,GA,31037,32.07,-82.91,$12321,$25122,$43205,819,3,20,1,Credit,4473643731469839,01/2020,771,YES,1,$7900,01/2020,2020,No
Blaine Murphy,28,57,1991,8,Male,2473 Lake Avenue,6.0,Helena,GA,31037,32.07,-82.91,$12321,$25122,$43205,819,3,20,2,Credit,4800116569994473,12/2020,201,YES,1,$5600,02/2020,2020,No
Grayson Diaz,18,65,2002,1,Male,970 Essex Drive,39.0,Portola Valley,CA,94028,37.37,-122.21,$106305,$216740,$0,700,2,21,0,Debit,4832328468851061,08/2023,580,YES,1,$68400,01/2020,2020,No
Grayson Diaz,18,65,2002,1,Male,970 Essex Drive,39.0,Portola Valley,CA,94028,37.37,-122.21,$106305,$216740,$0,700,2,21,1,Debit,5278075482033392,04/2023,437,YES,2,$77237,01/2020,2020,No
Yadiel Miller,76,66,1943,6,Male,9186 Washington Avenue,,Cleveland,OH,44134,41.47,-81.67,$19524,$41109,$21486,698,2,22,0,Debit,4869845530765333,08/2024,701,YES,2,$4488,07/2002,2015,No
Yadiel Miller,76,66,1943,6,Male,9186 Washington Avenue,,Cleveland,OH,44134,41.47,-81.67,$19524,$41109,$21486,698,2,22,1,Credit,4231526239204033,02/2020,499,YES,2,$12500,11/2014,2014,No
Roland King,70,64,1949,4,Male,5073 Wessex Avenue,,Tyronza,AR,72386,35.49,-90.35,$14172,$26858,$11245,712,2,23,0,Debit,5813611925507601,12/2020,734,YES,2,$23432,09/2001,2008,No
Roland King,70,64,1949,4,Male,5073 Wessex Avenue,,Tyronza,AR,72386,35.49,-90.35,$14172,$26858,$11245,712,2,23,1,Credit,366520954874839,05/2022,447,YES,2,$8800,05/2005,2011,No
Cole Xi,45,65,1975,1,Male,195 Eighth Boulevard,,Central Point,OR,97502,42.39,-122.93,$17131,$34929,$63849,714,1,24,0,Credit,5392697458480962,02/2020,886,YES,2,$12100,02/2020,2020,No
Jade Green,36,63,1983,8,Female,801 Mill Boulevard,,Mesa,AZ,85201,33.44,-111.85,$16829,$34317,$61826,610,3,25,0,Debit,5048151330736425,02/2020,931,YES,1,$9708,01/2020,2020,No
Jade Green,36,63,1983,8,Female,801 Mill Boulevard,,Mesa,AZ,85201,33.44,-111.85,$16829,$34317,$61826,610,3,25,1,Credit,371643368691556,11/2021,683,YES,2,$12000,07/2009,2011,No
Jade Green,36,63,1983,8,Female,801 Mill Boulevard,,Mesa,AZ,85201,33.44,-111.85,$16829,$34317,$61826,610,3,25,2,Debit,5700734711260263,11/2023,230,YES,1,$11973,03/2012,2012,No
Amaya Stewart,40,66,1979,4,Female,6914 Wessex Avenue,7043.0,Houston,TX,77061,29.76,-95.38,$15389,$31377,$59615,722,2,26,0,Debit,5389442391430673,02/2022,658,YES,2,$13601,10/2006,2014,No
Amaya Stewart,40,66,1979,4,Female,6914 Wessex Avenue,7043.0,Houston,TX,77061,29.76,-95.38,$15389,$31377,$59615,722,2,26,1,Credit,5079116875907423,01/2024,849,YES,2,$7800,02/2020,2020,No
Grant Gray,37,58,1982,9,Male,776 Norfolk Boulevard,,Van Nuys,CA,91411,34.17,-118.46,$21402,$43638,$104052,627,1,27,0,Debit,4390425683290569,10/2023,790,YES,2,$17816,08/2008,2016,No
Oliver Reed,41,67,1978,11,Male,2015 Bayview Avenue,8.0,Cookeville,TN,38501,36.15,-85.5,$15955,$32531,$38260,766,2,28,0,Debit,5217568630125704,03/2021,625,NO,2,$17707,10/2010,2010,No
Oliver Reed,41,67,1978,11,Male,2015 Bayview Avenue,8.0,Cookeville,TN,38501,36.15,-85.5,$15955,$32531,$38260,766,2,28,1,Credit,397856635669220,11/2020,2,YES,1,$9500,05/2005,2009,No
Aminah Collins,37,72,1983,2,Female,108 Washington Street,65.0,Whites Creek,TN,37189,36.28,-86.83,$20657,$42120,$72801,739,4,29,0,Debit,5529182104663869,01/2022,182,YES,1,$19110,05/2010,2011,No
Aminah Collins,37,72,1983,2,Female,108 Washington Street,65.0,Whites Creek,TN,37189,36.28,-86.83,$20657,$42120,$72801,739,4,29,1,Debit,5489017664251289,08/2023,196,YES,1,$13428,10/2016,2016,No
Aminah Collins,37,72,1983,2,Female,108 Washington Street,65.0,Whites Creek,TN,37189,36.28,-86.83,$20657,$42120,$72801,739,4,29,2,Debit,5793675314684781,06/2022,43,YES,1,$24608,08/2005,2009,No
Aminah Collins,37,72,1983,2,Female,108 Washington Street,65.0,Whites Creek,TN,37189,36.28,-86.83,$20657,$42120,$72801,739,4,29,3,Debit,5845373196638993,09/2022,111,YES,1,$13441,01/2008,2011,No
Ulises Neufelder,18,64,2001,5,Male,660 Seventh Drive,6.0,Columbus,OH,43230,39.98,-82.98,$28092,$57281,$89114,850,1,30,0,Debit (Prepaid),5750288075891808,02/2020,788,YES,2,$74,01/2020,2020,No
Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,,Miami,FL,33175,25.77,-80.2,$18828,$38390,$87923,783,4,31,0,Debit,5429789020188285,10/2012,674,YES,1,$17872,06/2008,2008,No
Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,,Miami,FL,33175,25.77,-80.2,$18828,$38390,$87923,783,4,31,1,Credit,5301114615829913,09/2022,425,YES,1,$12900,12/2003,2010,No
Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,,Miami,FL,33175,25.77,-80.2,$18828,$38390,$87923,783,4,31,2,Debit,5571104183564029,05/2024,52,YES,2,$25264,03/2006,2020,No
Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,,Miami,FL,33175,25.77,-80.2,$18828,$38390,$87923,783,4,31,3,Debit,5401948301255038,12/2022,920,YES,2,$20634,03/2005,2007,No
Madalynn Gutierrez,33,69,1986,9,Female,4930 Birch Drive,,Southport,NC,28461,33.92,-78.02,$17498,$35670,$58182,751,2,32,0,Credit,4295364044956974,04/2007,656,YES,2,$12200,12/2006,2010,No
Madalynn Gutierrez,33,69,1986,9,Female,4930 Birch Drive,,Southport,NC,28461,33.92,-78.02,$17498,$35670,$58182,751,2,32,1,Credit,4737484014371342,02/2010,221,YES,2,$5500,01/2008,2008,No
Rosa Faraday,21,66,1998,9,Female,93 Plum Lane,,Old Saybrook,CT,6475,41.29,-72.36,$30281,$61746,$154817,637,2,33,0,Credit,4509365132510769,03/2020,281,NO,2,$6600,02/2020,2020,No
Rosa Faraday,21,66,1998,9,Female,93 Plum Lane,,Old Saybrook,CT,6475,41.29,-72.36,$30281,$61746,$154817,637,2,33,1,Debit,5068255294282305,11/2020,890,YES,1,$25815,12/2017,2017,No
Brynn Allen,47,65,1972,11,Female,837 Lincoln Avenue,,Mobile,AL,36693,30.68,-88.04,$21331,$43496,$114563,765,3,34,0,Credit,354813103334804,06/2021,527,YES,2,$8400,01/2014,2014,No
Brynn Allen,47,65,1972,11,Female,837 Lincoln Avenue,,Mobile,AL,36693,30.68,-88.04,$21331,$43496,$114563,765,3,34,1,Debit,5910929635230868,02/2020,525,YES,1,$21628,03/2001,2008,No
Brynn Allen,47,65,1972,11,Female,837 Lincoln Avenue,,Mobile,AL,36693,30.68,-88.04,$21331,$43496,$114563,765,3,34,2,Debit,5400182448188961,10/2021,412,YES,1,$24232,07/2009,2009,No
Aden Adams,41,55,1978,8,Male,7467 Spruce Drive,,Sacramento,CA,95829,38.48,-121.34,$25431,$51854,$72162,737,2,35,0,Debit,5039048842448184,11/2023,339,YES,2,$10775,02/2009,2010,No
Aden Adams,41,55,1978,8,Male,7467 Spruce Drive,,Sacramento,CA,95829,38.48,-121.34,$25431,$51854,$72162,737,2,35,1,Debit (Prepaid),5672012369002302,02/2020,598,YES,2,$105,06/2007,2013,No
Haylee Baker,51,68,1968,4,Female,6323 Sussex Boulevard,,Chula Vista,CA,91911,32.61,-117.03,$16942,$34540,$22641,793,5,36,0,Credit,4336733185475861,01/2021,221,NO,2,$7100,11/2010,2010,No
Haylee Baker,51,68,1968,4,Female,6323 Sussex Boulevard,,Chula Vista,CA,91911,32.61,-117.03,$16942,$34540,$22641,793,5,36,1,Debit,5985582173054292,07/2024,951,YES,1,$29351,11/2005,2007,No
Haylee Baker,51,68,1968,4,Female,6323 Sussex Boulevard,,Chula Vista,CA,91911,32.61,-117.03,$16942,$34540,$22641,793,5,36,2,Debit,5281056728185174,03/2020,835,YES,2,$15125,04/2008,2012,No
Haylee Baker,51,68,1968,4,Female,6323 Sussex Boulevard,,Chula Vista,CA,91911,32.61,-117.03,$16942,$34540,$22641,793,5,36,3,Credit,5615660494634705,11/2021,865,YES,2,$8000,11/2003,2008,No
Haylee Baker,51,68,1968,4,Female,6323 Sussex Boulevard,,Chula Vista,CA,91911,32.61,-117.03,$16942,$34540,$22641,793,5,36,4,Debit (Prepaid),5314878099448745,05/2011,994,YES,1,$83,11/2010,2010,No
Nehemiah Turner,46,62,1973,11,Male,8738 Fourth Street,,Hanover Park,IL,60133,41.97,-88.14,$20248,$41287,$88151,662,1,37,0,Credit,311095486859536,01/2024,536,YES,2,$23700,07/2012,2012,No
Simon Adams,46,70,1973,10,Male,9344 Mill Drive,,Seaside,CA,93955,36.62,-121.82,$18663,$38054,$63293,666,1,38,0,Credit,4624747592911129,02/2024,986,YES,2,$700,12/2016,2016,No
Sunny King,59,62,1961,2,Female,299 11th Street,,Northborough,MA,1532,42.31,-71.64,$39418,$80371,$108499,822,1,39,0,Debit,5595562388674401,07/2024,594,YES,2,$7488,07/2006,2016,No
Harper Jackson,91,68,1929,2,Female,5492 Maple Drive,2.0,Overland Park,KS,66221,38.9,-94.68,$51642,$84694,$2149,741,7,40,0,Credit,4171022488649333,01/2002,225,NO,1,$24900,02/1999,2010,No
Harper Jackson,91,68,1929,2,Female,5492 Maple Drive,2.0,Overland Park,KS,66221,38.9,-94.68,$51642,$84694,$2149,741,7,40,1,Debit,5246337038556761,06/2021,638,YES,2,$30971,03/2005,2020,No
Harper Jackson,91,68,1929,2,Female,5492 Maple Drive,2.0,Overland Park,KS,66221,38.9,-94.68,$51642,$84694,$2149,741,7,40,2,Credit,399966116933253,01/2024,343,YES,1,$24400,01/2020,2020,No
Harper Jackson,91,68,1929,2,Female,5492 Maple Drive,2.0,Overland Park,KS,66221,38.9,-94.68,$51642,$84694,$2149,741,7,40,3,Debit,5064137987234665,02/2020,599,YES,2,$53549,01/2020,2020,No
Harper Jackson,91,68,1929,2,Female,5492 Maple Drive,2.0,Overland Park,KS,66221,38.9,-94.68,$51642,$84694,$2149,741,7,40,4,Debit,4905540969337037,09/2018,573,YES,1,$53036,10/2013,2013,No
Harper Jackson,91,68,1929,2,Female,5492 Maple Drive,2.0,Overland Park,KS,66221,38.9,-94.68,$51642,$84694,$2149,741,7,40,5,Debit,5703849820939467,12/2024,300,YES,1,$35750,08/2011,2011,No
Harper Jackson,91,68,1929,2,Female,5492 Maple Drive,2.0,Overland Park,KS,66221,38.9,-94.68,$51642,$84694,$2149,741,7,40,6,Debit,4055403312631050,07/2021,902,YES,1,$33375,03/2013,2013,No
Thomas Burns,79,72,1941,2,Male,829 Birch Boulevard,81.0,Corpus Christi,TX,78410,27.8,-97.39,$23608,$37503,$14272,706,5,41,0,Debit (Prepaid),4587476056357151,07/2023,858,YES,2,$22,12/2010,2010,No
Thomas Burns,79,72,1941,2,Male,829 Birch Boulevard,81.0,Corpus Christi,TX,78410,27.8,-97.39,$23608,$37503,$14272,706,5,41,1,Credit,6521426249819196,11/2020,608,YES,1,$13100,08/2014,2014,No
Thomas Burns,79,72,1941,2,Male,829 Birch Boulevard,81.0,Corpus Christi,TX,78410,27.8,-97.39,$23608,$37503,$14272,706,5,41,2,Debit,4199712815274632,10/2024,440,YES,1,$16516,07/2003,2011,No
Thomas Burns,79,72,1941,2,Male,829 Birch Boulevard,81.0,Corpus Christi,TX,78410,27.8,-97.39,$23608,$37503,$14272,706,5,41,3,Credit,5172743861765175,07/2016,906,YES,1,$15700,05/2004,2011,No
Thomas Burns,79,72,1941,2,Male,829 Birch Boulevard,81.0,Corpus Christi,TX,78410,27.8,-97.39,$23608,$37503,$14272,706,5,41,4,Debit,5214643602729093,05/2024,474,YES,1,$21058,08/2003,2007,No
Titan Flores,57,75,1962,12,Male,41011 Seventh Boulevard,,Chandler,AZ,85226,33.27,-111.94,$32056,$65357,$21844,685,4,42,0,Debit,4013876625955765,10/2023,543,YES,2,$36425,01/2002,2004,No
Titan Flores,57,75,1962,12,Male,41011 Seventh Boulevard,,Chandler,AZ,85226,33.27,-111.94,$32056,$65357,$21844,685,4,42,1,Debit (Prepaid),4966050979388902,03/2021,585,YES,2,$91,12/2016,2016,No
