User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
3,3,Visa,Debit,4935974646456350,Jun-20,649,YES,1,"$125,723.00",Oct-09,2010,No
4,0,Mastercard,Debit,5905027855347650,Jan-22,886,YES,1,"$34,900.00",Dec-99,2012,No
5,0,Visa,Credit,4099623033306950,Sep-21,074,YES,2,"$9,900.00",Jan-02,2019,No
5,1,Visa,Debit,4281200324251210,Jul-13,865,YES,2,"$21,587.00",Sep-07,2007,No
5,2,Visa,Credit,4411456925570760,Nov-22,922,YES,2,"$15,800.00",Nov-05,2011,No
6,0,Mastercard,Debit,5202477865497330,Apr-22,861,YES,1,"$29,964.00",Jun-05,2014,No
6,1,Mastercard,Credit,5089768442116300,Jul-23,686,YES,2,"$11,200.00",Sep-10,2010,No
6,2,Mastercard,Debit,5767339719294370,Dec-21,669,NO,2,"$26,753.00",Oct-14,2014,No
7,0,Visa,Debit,4595831603224640,May-23,689,NO,2,"$17,480.00",Jan-20,2020,No
8,0,Mastercard,Debit,5341049613275150,Sep-21,396,YES,2,"$26,546.00",Nov-09,2009,No
8,1,Mastercard,Debit,5668831527649350,Jan-21,356,YES,1,"$23,253.00",Sep-17,2017,No
8,2,Visa,Credit,4400056931148230,Feb-21,497,YES,1,"$16,100.00",Jan-05,2014,No
8,3,Visa,Credit,4808554251869440,Feb-21,921,YES,2,"$8,700.00",Jan-12,2012,No
8,4,Mastercard,Debit,5224739362243610,Jan-19,922,YES,1,"$29,333.00",May-12,2012,No
9,0,Mastercard,Debit,5294178176133530,Jul-24,265,YES,2,"$9,496.00",Jul-09,2012,No
10,0,Visa,Debit,4857799018106610,Jul-21,930,YES,1,"$25,499.00",Feb-20,2020,No
10,1,Visa,Debit,4324062360619920,Feb-20,358,YES,1,"$18,641.00",Feb-20,2020,No
11,0,Visa,Debit,4852639114720720,May-23,995,YES,1,"$26,019.00",Jan-20,2020,No
12,0,Mastercard,Debit,5656383455895230,Jan-21,547,YES,1,"$25,845.00",Feb-20,2020,No
13,0,Visa,Debit,4556928160477220,Jun-23,064,YES,2,"$2,365.00",Jan-07,2009,No
13,1,Mastercard,Debit,5515782790823580,Jun-23,419,YES,2,"$18,684.00",Jul-06,2017,No
13,2,Visa,Credit,4508388296516450,Feb-21,364,NO,2,"$7,400.00",Feb-20,2020,No
14,0,Mastercard,Debit,5548265564669330,Dec-24,145,YES,2,"$4,147.00",Dec-08,2016,No
15,0,Visa,Debit (Prepaid),4986270376099440,Apr-22,385,YES,1,$76.00,Dec-12,2012,No
15,1,Discover,Credit,6726060094896110,Jan-09,105,NO,1,"$4,700.00",Dec-08,2014,No
15,2,Visa,Credit,4157109762296140,Jun-21,433,YES,2,"$5,800.00",Aug-07,2011,No
15,3,Mastercard,Debit,5231462717450520,Mar-24,754,YES,2,"$12,082.00",Aug-16,2016,No
15,4,Mastercard,Credit,5074836567307560,Mar-23,741,NO,2,"$6,000.00",Jun-02,2010,No
15,5,Visa,Debit,4986369179342270,Nov-09,367,YES,1,$620.00,Feb-02,2014,No
16,0,Mastercard,Debit,5892013969159900,Aug-22,879,YES,1,"$14,499.00",Jan-08,2008,No
16,1,Mastercard,Debit,5179157151686140,Jul-23,457,YES,2,"$12,332.00",Aug-07,2009,No
16,2,Mastercard,Debit,5569640141329520,Sep-24,904,YES,1,"$18,424.00",Aug-13,2013,No
16,3,Visa,Credit,4708914311449290,Jul-23,149,NO,1,"$15,400.00",Aug-03,2008,No
16,4,Visa,Debit,4795724941278910,Feb-22,136,YES,2,"$14,548.00",Aug-07,2013,No
16,5,Mastercard,Credit,5300159511214990,Dec-16,740,YES,2,"$10,100.00",Sep-16,2016,No
17,0,Discover,Credit,6580244636542190,Apr-11,416,YES,1,"$11,200.00",Feb-04,2008,No
17,1,Mastercard,Debit,5032457975030960,Oct-24,240,YES,2,"$20,291.00",Dec-09,2011,No
17,2,Visa,Debit,4382324870900900,Aug-18,852,YES,1,"$32,092.00",Jan-06,2010,No
17,3,Mastercard,Debit,5456808094753900,Feb-20,217,YES,1,"$20,463.00",Jan-20,2020,No
18,0,Visa,Debit,4465362453388900,Aug-22,738,YES,1,"$15,802.00",Jan-20,2020,No
18,1,Visa,Debit,4668447208616690,Feb-20,314,NO,2,"$4,612.00",Feb-20,2020,No
18,2,Discover,Credit,6377595394803320,Jul-20,675,YES,2,"$19,900.00",Jan-20,2020,No
19,0,Mastercard,Debit (Prepaid),5117090980312400,Oct-20,042,YES,1,$73.00,Feb-00,2012,No
19,1,Mastercard,Debit,5377858405611170,Jan-24,024,YES,1,"$11,858.00",Sep-09,2010,No
19,2,Mastercard,Debit,5585238056278280,Mar-05,749,YES,1,"$9,664.00",Jan-98,2011,No
19,3,Mastercard,Debit,5355281784290560,Jun-20,810,YES,1,"$8,367.00",Mar-09,2009,No
19,4,Visa,Credit,4150093118072730,Jun-22,135,YES,2,"$6,100.00",Feb-04,2009,No
20,0,Mastercard,Debit,5979295728871780,Feb-20,630,YES,3,"$9,944.00",Feb-20,2020,No
20,1,Visa,Credit,4473643731469830,Jan-20,771,YES,1,"$7,900.00",Jan-20,2020,No
20,2,Visa,Credit,4800116569994470,Dec-20,201,YES,1,"$5,600.00",Feb-20,2020,No
21,0,Visa,Debit,4832328468851060,Aug-23,580,YES,1,"$68,400.00",Jan-20,2020,No
21,1,Mastercard,Debit,5278075482033390,Apr-23,437,YES,2,"$77,237.00",Jan-20,2020,No
22,0,Visa,Debit,4869845530765330,Aug-24,701,YES,2,"$4,488.00",Jul-02,2015,No
22,1,Visa,Credit,4231526239204030,Feb-20,499,YES,2,"$12,500.00",Nov-14,2014,No
23,0,Mastercard,Debit,5813611925507600,Dec-20,734,YES,2,"$23,432.00",Sep-01,2008,No
23,1,Amex,Credit,366520954874839,May-22,447,YES,2,"$8,800.00",May-05,2011,No
24,0,Mastercard,Credit,5392697458480960,Feb-20,886,YES,2,"$12,100.00",Feb-20,2020,No
25,0,Mastercard,Debit,5048151330736420,Feb-20,931,YES,1,"$9,708.00",Jan-20,2020,No
25,1,Amex,Credit,371643368691556,Nov-21,683,YES,2,"$12,000.00",Jul-09,2011,No
25,2,Mastercard,Debit,5700734711260260,Nov-23,230,YES,1,"$11,973.00",Mar-12,2012,No
26,0,Mastercard,Debit,5389442391430670,Feb-22,658,YES,2,"$13,601.00",Oct-06,2014,No
26,1,Mastercard,Credit,5079116875907420,Jan-24,849,YES,2,"$7,800.00",Feb-20,2020,No
27,0,Visa,Debit,4390425683290560,Oct-23,790,YES,2,"$17,816.00",Aug-08,2016,No
28,0,Mastercard,Debit,5217568630125700,Mar-21,625,NO,2,"$17,707.00",Oct-10,2010,No
28,1,Amex,Credit,397856635669220,Nov-20,002,YES,1,"$9,500.00",May-05,2009,No
29,0,Mastercard,Debit,5529182104663860,Jan-22,182,YES,1,"$19,110.00",May-10,2011,No
29,1,Mastercard,Debit,5489017664251280,Aug-23,196,YES,1,"$13,428.00",Oct-16,2016,No
29,2,Mastercard,Debit,5793675314684780,Jun-22,043,YES,1,"$24,608.00",Aug-05,2009,No
29,3,Mastercard,Debit,5845373196638990,Sep-22,111,YES,1,"$13,441.00",Jan-08,2011,No
30,0,Mastercard,Debit (Prepaid),5750288075891800,Feb-20,788,YES,2,$74.00,Jan-20,2020,No
31,0,Mastercard,Debit,5429789020188280,Oct-12,674,YES,1,"$17,872.00",Jun-08,2008,No
31,1,Mastercard,Credit,5301114615829910,Sep-22,425,YES,1,"$12,900.00",Dec-03,2010,No
31,2,Mastercard,Debit,5571104183564020,May-24,052,YES,2,"$25,264.00",Mar-06,2020,No
31,3,Mastercard,Debit,5401948301255030,Dec-22,920,YES,2,"$20,634.00",Mar-05,2007,No
32,0,Visa,Credit,4295364044956970,Apr-07,656,YES,2,"$12,200.00",Dec-06,2010,No
32,1,Visa,Credit,4737484014371340,Feb-10,221,YES,2,"$5,500.00",Jan-08,2008,No
33,0,Visa,Credit,4509365132510760,Mar-20,281,NO,2,"$6,600.00",Feb-20,2020,No
33,1,Mastercard,Debit,5068255294282300,Nov-20,890,YES,1,"$25,815.00",Dec-17,2017,No
34,0,Amex,Credit,354813103334804,Jun-21,527,YES,2,"$8,400.00",Jan-14,2014,No
34,1,Mastercard,Debit,5910929635230860,Feb-20,525,YES,1,"$21,628.00",Mar-01,2008,No
34,2,Mastercard,Debit,5400182448188960,Oct-21,412,YES,1,"$24,232.00",Jul-09,2009,No
35,0,Mastercard,Debit,5039048842448180,Nov-23,339,YES,2,"$10,775.00",Feb-09,2010,No
35,1,Mastercard,Debit (Prepaid),5672012369002300,Feb-20,598,YES,2,$105.00,Jun-07,2013,No
36,0,Visa,Credit,4336733185475860,Jan-21,221,NO,2,"$7,100.00",Nov-10,2010,No
36,1,Mastercard,Debit,5985582173054290,Jul-24,951,YES,1,"$29,351.00",Nov-05,2007,No
36,2,Mastercard,Debit,5281056728185170,Mar-20,835,YES,2,"$15,125.00",Apr-08,2012,No
36,3,Mastercard,Credit,5615660494634700,Nov-21,865,YES,2,"$8,000.00",Nov-03,2008,No
36,4,Mastercard,Debit (Prepaid),5314878099448740,May-11,994,YES,1,$83.00,Nov-10,2010,No
37,0,Amex,Credit,311095486859536,Jan-24,536,YES,2,"$23,700.00",Jul-12,2012,No
38,0,Visa,Credit,4624747592911120,Feb-24,986,YES,2,$700.00,Dec-16,2016,No
39,0,Mastercard,Debit,5595562388674400,Jul-24,594,YES,2,"$7,488.00",Jul-06,2016,No
40,0,Visa,Credit,4171022488649330,Jan-02,225,NO,1,"$24,900.00",Feb-99,2010,No
40,1,Mastercard,Debit,5246337038556760,Jun-21,638,YES,2,"$30,971.00",Mar-05,2020,No
40,2,Amex,Credit,399966116933253,Jan-24,343,YES,1,"$24,400.00",Jan-20,2020,No
40,3,Mastercard,Debit,5064137987234660,Feb-20,599,YES,2,"$53,549.00",Jan-20,2020,No
40,4,Visa,Debit,4905540969337030,Sep-18,573,YES,1,"$53,036.00",Oct-13,2013,No
40,5,Mastercard,Debit,5703849820939460,Dec-24,300,YES,1,"$35,750.00",Aug-11,2011,No
40,6,Visa,Debit,4055403312631050,Jul-21,902,YES,1,"$33,375.00",Mar-13,2013,No
41,0,Visa,Debit (Prepaid),4587476056357150,Jul-23,858,YES,2,$22.00,Dec-10,2010,No
41,1,Discover,Credit,6521426249819190,Nov-20,608,YES,1,"$13,100.00",Aug-14,2014,No
41,2,Visa,Debit,4199712815274630,Oct-24,440,YES,1,"$16,516.00",Jul-03,2011,No
41,3,Mastercard,Credit,5172743861765170,Jul-16,906,YES,1,"$15,700.00",May-04,2011,No
41,4,Mastercard,Debit,5214643602729090,May-24,474,YES,1,"$21,058.00",Aug-03,2007,No
42,0,Visa,Debit,4013876625955760,Oct-23,543,YES,2,"$36,425.00",Jan-02,2004,No
42,1,Visa,Debit (Prepaid),4966050979388900,Mar-21,585,YES,2,$91.00,Dec-16,2016,No
42,2,Mastercard,Credit,5247576622089390,Sep-21,379,YES,1,"$13,400.00",Apr-05,2014,No
42,3,Mastercard,Credit,5911319900289830,Apr-21,037,YES,2,"$21,600.00",Apr-10,2010,No
43,0,Mastercard,Debit,5058769177189800,Feb-20,012,NO,1,"$9,090.00",Feb-20,2020,No
44,0,Visa,Debit,4682877628388630,Feb-23,846,NO,1,"$25,942.00",Nov-12,2012,No
44,1,Mastercard,Credit,5882842508952740,Jul-19,614,YES,2,"$10,700.00",Feb-03,2013,No
44,2,Mastercard,Credit,5637149260486790,Jul-22,630,YES,2,"$4,900.00",Feb-20,2020,No
45,0,Mastercard,Credit,5115700923413240,Apr-22,587,NO,1,"$18,100.00",Feb-20,2020,No
46,0,Amex,Credit,324640473359364,Mar-24,659,YES,2,"$7,200.00",Jan-20,2020,No
47,0,Mastercard,Debit,5033428838471720,Feb-20,546,YES,2,"$22,660.00",Jul-04,2007,No
47,1,Discover,Credit,6969946254132650,Dec-22,588,YES,1,"$19,800.00",May-11,2011,No
47,2,Mastercard,Credit,5181226307106930,Nov-24,820,YES,2,"$15,500.00",Jan-05,2014,No
47,3,Visa,Debit (Prepaid),4310689470082080,Jun-23,458,YES,1,$13.00,Jan-05,2008,No
47,4,Mastercard,Debit,5051066154001740,Jun-21,526,YES,2,"$4,317.00",Jul-01,2011,No
48,0,Mastercard,Debit,5456915066505060,Dec-21,553,NO,1,"$14,719.00",Mar-00,2008,No
48,1,Mastercard,Debit,5132664334960880,May-21,593,YES,1,"$9,532.00",Sep-17,2017,No
48,2,Mastercard,Credit,5752873844240560,Mar-20,486,YES,1,"$10,900.00",Jul-06,2014,No
49,0,Mastercard,Credit,5494228198326750,Sep-24,428,YES,2,"$6,200.00",Nov-01,2012,No
49,1,Mastercard,Debit,5789639625525450,Dec-12,043,YES,2,"$2,903.00",Nov-05,2011,No
49,2,Mastercard,Debit,5392957769023380,Oct-20,803,YES,2,"$4,355.00",Dec-99,2010,No
50,0,Mastercard,Debit,5182820825620430,Apr-21,126,YES,1,"$28,963.00",Nov-07,2012,No
50,1,Mastercard,Debit,5102353988152900,Dec-22,667,YES,2,"$20,913.00",May-16,2016,No
50,2,Mastercard,Debit,5033135709911480,Jul-24,170,YES,1,"$23,344.00",Feb-10,2010,No
50,3,Mastercard,Debit,5611522756791990,Jan-20,882,YES,2,"$33,642.00",Oct-16,2016,No
51,0,Mastercard,Debit,5037404409791940,Jan-22,681,YES,1,"$14,695.00",Sep-10,2011,No
52,0,Mastercard,Credit,5571363047071890,Sep-23,510,YES,1,"$13,200.00",Jan-07,2015,No
52,1,Visa,Debit,4083033843851770,Jan-20,173,YES,1,"$29,950.00",Sep-08,2013,No
52,2,Visa,Credit,4829916759482890,Jul-24,768,YES,2,"$4,600.00",Dec-07,2011,No
53,0,Mastercard,Debit,5458492483408540,Dec-22,092,YES,1,"$10,051.00",Apr-02,2011,No
53,1,Mastercard,Debit,5879094230635420,Dec-15,729,YES,2,"$9,796.00",Feb-03,2013,No
54,0,Mastercard,Debit,5769435406360320,Oct-21,957,YES,1,"$17,826.00",Oct-09,2009,No
54,1,Mastercard,Debit,5588799529406910,Nov-24,778,YES,1,"$19,086.00",Dec-06,2009,No
54,2,Visa,Debit,4410685608952630,Jun-24,265,YES,2,"$17,345.00",Oct-14,2014,No
54,3,Visa,Debit,4470822684089910,Sep-20,923,YES,2,"$17,976.00",Feb-13,2013,No
54,4,Visa,Debit,4804338444306720,Jan-22,279,YES,2,"$16,447.00",Jan-19,2019,No
55,0,Visa,Debit,4194362281636450,Oct-24,271,YES,2,"$29,573.00",Oct-08,2009,No
55,1,Mastercard,Debit (Prepaid),5436469451844820,Dec-21,048,YES,2,$98.00,Dec-10,2010,No
55,2,Mastercard,Debit,5648865641388290,Aug-19,071,YES,2,"$2,559.00",Aug-02,2012,No
55,3,Mastercard,Debit,5914243757284140,Oct-12,436,YES,2,"$6,552.00",Jan-03,2010,No
56,0,Mastercard,Credit,5193780952753620,Jan-21,591,YES,2,"$13,800.00",Jan-20,2020,No
57,0,Mastercard,Debit,5957925302951750,Aug-20,746,YES,1,"$16,375.00",Feb-20,2020,No
57,1,Visa,Debit,4557061225558440,May-23,780,YES,1,"$14,213.00",Jan-20,2020,No
57,2,Visa,Debit (Prepaid),4883222888293060,Sep-20,002,YES,1,$73.00,Feb-20,2020,No
58,0,Mastercard,Debit,5476407228285230,Nov-22,688,YES,2,"$53,466.00",Jul-07,2013,No
59,0,Visa,Credit,4698943729070490,Sep-20,450,YES,1,"$6,600.00",Jan-11,2013,No
59,1,Mastercard,Credit,5579147219556300,Jun-22,806,NO,2,"$7,200.00",Dec-15,2015,No
60,0,Mastercard,Debit,5099614207935760,Nov-20,856,YES,1,"$2,868.00",Jan-20,2020,No
60,1,Discover,Credit,6177503172021500,May-24,097,YES,1,"$3,400.00",Jan-20,2020,No
61,0,Mastercard,Debit,5188130978534930,Jan-22,446,YES,1,"$12,915.00",Oct-11,2013,No
61,1,Visa,Debit (Prepaid),4860320285002450,Dec-23,366,YES,2,$84.00,Apr-09,2017,No
61,2,Discover,Credit,6417599205270840,Jul-21,504,YES,2,"$17,600.00",Apr-18,2018,No
61,3,Mastercard,Debit,5516722949603670,Dec-12,621,YES,1,"$31,542.00",Nov-06,2009,No
61,4,Mastercard,Debit,5891053637541510,Feb-22,362,YES,2,"$23,049.00",Jun-13,2013,No
61,5,Visa,Debit,4222570131769030,May-20,141,YES,1,"$29,734.00",Dec-17,2017,No
61,6,Visa,Credit,4453742478192140,Jan-20,346,YES,2,"$27,000.00",Sep-11,2016,No
61,7,Mastercard,Debit (Prepaid),5335984658439100,Nov-22,320,YES,1,$18.00,Mar-08,2010,No
62,0,Mastercard,Debit,5708150083756690,Apr-23,824,YES,1,"$17,848.00",Dec-15,2015,No
62,1,Mastercard,Debit,5238684130320060,Nov-22,870,NO,1,"$25,563.00",May-10,2010,No
62,2,Visa,Credit,4740880792169370,Apr-20,168,YES,2,"$12,000.00",Oct-10,2010,No
62,3,Amex,Credit,361648729239104,Nov-18,709,NO,2,"$6,600.00",Feb-12,2012,No
63,0,Amex,Credit,363305614201313,Sep-23,943,NO,1,"$5,600.00",Jan-20,2020,No
63,1,Visa,Debit,4360859456629850,Nov-22,428,YES,3,"$11,873.00",Feb-20,2020,No
63,2,Mastercard,Credit,5498016831726770,Feb-20,871,YES,1,"$7,200.00",Feb-20,2020,No
64,0,Amex,Credit,381572912003735,Aug-24,145,YES,1,"$10,000.00",Feb-20,2020,No
64,1,Mastercard,Credit,5079302523329050,Apr-23,381,YES,2,$500.00,Nov-10,2010,No
65,0,Mastercard,Debit,5546998350637120,Feb-20,718,YES,1,"$22,697.00",Feb-20,2020,No
65,1,Mastercard,Credit,5326031764905960,Aug-23,437,YES,1,"$18,000.00",Mar-13,2013,No
65,2,Mastercard,Debit,5096150037217370,Oct-24,862,YES,1,"$32,903.00",Jun-10,2010,No
66,0,Visa,Debit,4489873116412360,Aug-21,547,YES,2,"$12,764.00",May-99,2010,No
66,1,Mastercard,Credit,5621725368325860,Oct-22,060,YES,1,"$6,300.00",Feb-19,2019,No
67,0,Mastercard,Debit,5923138803280580,Feb-22,934,YES,2,"$7,541.00",Sep-08,2013,No
67,1,Visa,Debit,4447989421793040,Mar-22,995,YES,2,"$1,266.00",Jun-07,2012,No
67,2,Mastercard,Credit,5000307662634780,Apr-20,263,NO,1,"$9,500.00",Sep-14,2014,No
68,0,Mastercard,Debit,5707305515533510,Apr-20,203,YES,2,"$1,837.00",Jun-10,2010,No
68,1,Mastercard,Debit,5864987017850550,Aug-23,258,YES,2,"$17,453.00",Feb-06,2008,No
69,0,Visa,Debit,4228885239928180,Oct-13,543,NO,1,"$28,283.00",May-08,2012,No
69,1,Visa,Credit,4210237285941910,Apr-20,160,YES,1,"$13,500.00",May-10,2012,No
69,2,Visa,Credit,4877073763902890,Jul-14,786,YES,2,"$13,300.00",Jun-12,2012,No
70,0,Mastercard,Debit,5558040779986500,Sep-21,069,YES,2,"$17,941.00",Apr-09,2009,No
71,0,Visa,Credit,4642496218651970,Apr-18,594,YES,1,"$14,400.00",Jun-10,2012,No
71,1,Visa,Credit,4244401907291510,Apr-20,120,YES,1,"$4,400.00",Jul-12,2012,No
71,2,Mastercard,Credit,5157439545898690,Mar-20,657,YES,1,"$13,000.00",Feb-20,2020,No
71,3,Visa,Debit,4079516725179260,Apr-23,072,YES,2,"$22,701.00",Feb-20,2020,No
72,0,Mastercard,Credit,5597117503471640,Aug-24,934,NO,1,"$16,100.00",Feb-20,2020,No
72,1,Mastercard,Debit,5808372218918200,Sep-23,138,YES,2,"$7,629.00",Feb-20,2020,No
73,0,Mastercard,Debit,5565497732362120,Mar-22,430,NO,1,"$16,538.00",Apr-12,2012,No
73,1,Visa,Debit,4072893581482200,Dec-20,578,YES,2,"$22,746.00",Jan-08,2010,No
73,2,Mastercard,Debit,5161929618424760,Jul-16,743,YES,1,"$9,737.00",Feb-16,2016,No
73,3,Mastercard,Credit,5359358098670030,Jul-19,428,YES,1,"$6,500.00",Feb-11,2014,No
73,4,Mastercard,Debit,5093514487076210,Jun-20,889,YES,2,"$2,650.00",Feb-11,2013,No
73,5,Visa,Credit,4409790595650710,May-12,839,YES,2,"$8,200.00",Jan-09,2011,No
73,6,Amex,Credit,373325875666765,Jan-22,204,YES,2,"$6,200.00",Nov-06,2013,No
74,0,Amex,Credit,366837170672753,Jan-21,803,YES,2,"$22,600.00",Nov-06,2014,No
74,1,Mastercard,Debit,5260255791659840,May-24,428,YES,2,"$6,940.00",Mar-06,2009,No
74,2,Mastercard,Debit,5911939393457820,Mar-24,410,YES,2,"$23,408.00",Apr-96,2008,No
74,3,Visa,Credit,4226284680001630,Sep-22,966,YES,2,"$9,700.00",Nov-04,2007,No
75,0,Mastercard,Debit,5624997997810580,Jun-24,992,NO,2,"$10,538.00",Jul-06,2006,No
75,1,Mastercard,Debit,5752209560237460,Mar-23,385,YES,2,"$6,853.00",Aug-01,2006,No
75,2,Mastercard,Debit,5470018669871080,Oct-20,598,YES,2,$607.00,Dec-02,2010,No
75,3,Mastercard,Credit,5764603958082860,Aug-21,397,YES,1,$0.00,Aug-10,2010,No
75,4,Visa,Debit,4378354586828460,Jun-21,644,YES,2,"$8,253.00",Oct-04,2011,No
76,0,Visa,Debit,4415203972868490,Sep-20,847,YES,2,"$8,492.00",Jan-20,2020,No
77,0,Visa,Credit,4716309780327850,Jul-22,275,YES,1,"$9,100.00",Jan-10,2010,No
77,1,Mastercard,Credit,5175414290540890,Apr-22,497,NO,2,"$2,600.00",Jul-11,2011,No
77,2,Mastercard,Credit,5079431552272490,May-24,813,NO,1,"$7,300.00",Nov-02,2010,No
78,0,Visa,Credit,4841586209388610,Aug-20,207,YES,1,"$15,000.00",Oct-09,2009,No
78,1,Mastercard,Credit,5133341979041600,Apr-24,497,YES,2,"$18,700.00",Feb-20,2020,No
78,2,Visa,Debit,4044685132149960,May-21,579,YES,1,"$21,458.00",Jan-20,2020,No
78,3,Visa,Credit,4825181289428260,Apr-20,635,NO,1,"$15,700.00",Nov-10,2014,No
79,0,Mastercard,Debit,5533057740649370,Jan-20,013,YES,2,"$20,765.00",Dec-14,2014,No
79,1,Mastercard,Debit,5137811039972620,Jun-22,170,NO,2,"$18,101.00",Feb-20,2020,No
79,2,Visa,Credit,4409545480052950,Nov-24,528,YES,1,"$8,400.00",Feb-20,2020,No
79,3,Mastercard,Debit,5169705466479210,Mar-20,066,YES,1,"$1,737.00",Jan-20,2020,No
80,0,Mastercard,Credit,5782138554730430,Feb-20,217,YES,2,"$20,900.00",Feb-20,2020,No
80,1,Visa,Credit,4450097042295690,Nov-21,601,YES,1,"$23,700.00",Feb-20,2020,No
80,2,Mastercard,Credit,5298079382002760,Nov-21,989,YES,1,"$17,500.00",Jan-20,2020,No
81,0,Visa,Debit,4911894810892310,Jun-24,769,YES,1,"$26,083.00",Dec-09,2009,No
81,1,Visa,Debit,4394014058373530,Oct-22,943,YES,1,"$31,589.00",May-08,2008,No
81,2,Visa,Credit,4984110253172320,Jun-21,453,YES,2,"$24,200.00",Oct-00,2013,No
82,0,Mastercard,Debit,5658875071888530,Feb-20,190,YES,2,"$18,321.00",Feb-20,2020,No
83,0,Mastercard,Debit,5377126168537130,Oct-22,094,YES,2,"$7,551.00",Nov-02,2010,No
83,1,Mastercard,Debit,5606824501502070,Jun-14,451,YES,1,"$15,377.00",Aug-04,2011,No
83,2,Visa,Debit,4501704511432200,Mar-23,324,YES,1,"$12,990.00",Oct-07,2016,No
83,3,Visa,Debit,4015096339812700,Feb-23,494,YES,1,"$8,509.00",Jun-10,2010,No
84,0,Visa,Debit,4467199760802870,Nov-14,176,YES,1,"$96,907.00",Nov-14,2014,No
84,1,Visa,Credit,4081474027835140,Jul-15,045,YES,1,"$43,900.00",Mar-08,2013,No
84,2,Visa,Debit (Prepaid),4868297041449160,Oct-20,440,YES,2,$76.00,Nov-05,2007,No
85,0,Mastercard,Debit,5843714671989150,Jan-20,533,YES,2,"$50,915.00",Jan-20,2020,No
85,1,Visa,Debit,4052306795072860,Dec-21,369,YES,2,"$31,767.00",Feb-20,2020,No
86,0,Visa,Credit,4229889369220690,Apr-24,082,YES,2,"$13,200.00",Jul-08,2010,No
86,1,Mastercard,Credit,5936949471946670,Oct-22,372,YES,2,"$16,000.00",Feb-11,2012,No
86,2,Visa,Debit,4748458102584200,Jul-24,223,YES,2,"$18,132.00",Jan-20,2020,No
86,3,Visa,Credit,4862788591864790,Feb-19,466,YES,1,$300.00,Apr-12,2012,No
87,0,Mastercard,Debit,5736838327060440,Nov-22,714,YES,2,"$2,236.00",May-00,2015,No
87,1,Visa,Debit,4528854599819260,Aug-19,451,YES,2,"$21,591.00",Sep-10,2010,No
88,0,Mastercard,Debit,5956798767354530,Apr-20,927,YES,2,"$11,521.00",Feb-20,2020,No
88,1,Visa,Credit,4949830998579620,Jun-20,561,NO,1,"$8,600.00",Jan-20,2020,No
89,0,Amex,Credit,323782494048404,Mar-20,659,YES,1,"$9,800.00",Aug-03,2010,No
89,1,Visa,Credit,4172882144788970,Mar-12,902,YES,2,"$11,300.00",Feb-08,2009,No
89,2,Mastercard,Credit,5153494647482340,Oct-19,492,YES,1,"$8,400.00",Apr-09,2011,No
89,3,Mastercard,Debit,5513208341097350,Dec-23,789,YES,1,"$16,597.00",Jan-99,2009,No
89,4,Amex,Credit,316138720673532,Sep-20,876,YES,2,"$9,400.00",Sep-08,2008,No
90,0,Visa,Debit,4709941855155410,Dec-08,122,YES,1,"$18,702.00",Dec-07,2007,No
91,0,Visa,Debit,4725438629956460,Jun-22,675,YES,1,"$24,806.00",Jun-07,2007,No
