User,Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,CARD INDEX,Cards Issued,Card Type,Card Number,Expires,`CVV,Has Chip,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
3,Everlee Clark,63,63,1957,1,Female,3 Madison Street,New York,NY,10069,40.71,-73.99,"$163,145.00 ","$249,925.00 ","$202,328.00 ",722,4,2,1,Debit,`4032240655674500,22-Jun,`053,YES,"$132,439.00 ",10-Nov,2011,No
3,Everlee Clark,63,63,1957,1,Female,3 Madison Street,New York,NY,10069,40.71,-73.99,"$163,145.00 ","$249,925.00 ","$202,328.00 ",722,4,3,1,Debit,`4935974646456350,20-Jun,`649,YES,"$125,723.00 ",9-Oct,2010,No
4,Kyle Peterson,43,70,1976,9,Male,9620 Valley Stream Drive,San Francisco,CA,94117,37.76,-122.44,"$53,797.00 ","$109,687.00 ","$183,855.00 ",675,1,0,1,Debit,`5905027855347650,22-Jan,`886,YES,"$34,900.00 ",Dec-99,2012,No
5,Aldo Walker,42,70,1977,10,Male,58 Birch Lane Apt. 6,Davenport,IA,52803,41.55,-90.6,"$20,599.00 ","$41,997.00 ",$0.00 ,704,3,0,2,Credit,`4099623033306950,21-Sep,`074,YES,"$9,900.00 ",2-Jan,2019,No
5,Aldo Walker,42,70,1977,10,Male,58 Birch Lane Apt. 6,Davenport,IA,52803,41.55,-90.6,"$20,599.00 ","$41,997.00 ",$0.00 ,704,3,1,2,Debit,`4281200324251210,13-Jul,`865,YES,"$21,587.00 ",7-Sep,2007,No
5,Aldo Walker,42,70,1977,10,Male,58 Birch Lane Apt. 6,Davenport,IA,52803,41.55,-90.6,"$20,599.00 ","$41,997.00 ",$0.00 ,704,3,2,2,Credit,`4411456925570760,22-Nov,`922,YES,"$15,800.00 ",5-Nov,2011,No
6,Katalina Lewis,36,67,1983,12,Female,5695 Fifth Street Apt. 1,Louisville,KY,40299,38.22,-85.74,"$25,258.00 ","$51,500.00 ","$102,286.00 ",672,3,0,1,Debit,`5202477865497330,22-Apr,`861,YES,"$29,964.00 ",5-Jun,2014,No
6,Katalina Lewis,36,67,1983,12,Female,5695 Fifth Street Apt. 1,Louisville,KY,40299,38.22,-85.74,"$25,258.00 ","$51,500.00 ","$102,286.00 ",672,3,1,2,Credit,`5089768442116300,23-Jul,`686,YES,"$11,200.00 ",10-Sep,2010,No
6,Katalina Lewis,36,67,1983,12,Female,5695 Fifth Street Apt. 1,Louisville,KY,40299,38.22,-85.74,"$25,258.00 ","$51,500.00 ","$102,286.00 ",672,3,2,2,Debit,`5767339719294370,21-Dec,`669,NO,"$26,753.00 ",14-Oct,2014,No
7,Ryland Howard,26,67,1993,12,Male,1941 Ninth Street Apt. 10,Portland,OR,97214,45.51,-122.64,"$26,790.00 ","$54,623.00 ","$114,711.00 ",728,1,0,2,Debit,`4595831603224640,23-May,`689,NO,"$17,480.00 ",20-Jan,2020,No
8,Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,Telford,PA,18969,40.32,-75.32,"$26,273.00 ","$42,509.00 ","$2,895.00 ",755,5,0,2,Debit,`5341049613275150,21-Sep,`396,YES,"$26,546.00 ",9-Nov,2009,No
8,Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,Telford,PA,18969,40.32,-75.32,"$26,273.00 ","$42,509.00 ","$2,895.00 ",755,5,1,1,Debit,`5668831527649350,21-Jan,`356,YES,"$23,253.00 ",17-Sep,2017,No
8,Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,Telford,PA,18969,40.32,-75.32,"$26,273.00 ","$42,509.00 ","$2,895.00 ",755,5,2,1,Credit,`4400056931148230,21-Feb,`497,YES,"$16,100.00 ",5-Jan,2014,No
8,Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,Telford,PA,18969,40.32,-75.32,"$26,273.00 ","$42,509.00 ","$2,895.00 ",755,5,3,2,Credit,`4808554251869440,21-Feb,`921,YES,"$8,700.00 ",12-Jan,2012,No
8,Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,Telford,PA,18969,40.32,-75.32,"$26,273.00 ","$42,509.00 ","$2,895.00 ",755,5,4,1,Debit,`5224739362243610,19-Jan,`922,YES,"$29,333.00 ",12-May,2012,No
9,Sawyer Butler,34,60,1986,1,Female,887 Grant Street,Abbeville,LA,70510,29.97,-92.12,"$18,730.00 ","$38,190.00 ","$81,262.00 ",810,1,0,2,Debit,`5294178176133530,24-Jul,`265,YES,"$9,496.00 ",9-Jul,2012,No
10,Antonio Ryan,27,66,1992,6,Male,888 Fifth Lane Apt. 10,Fair Oaks,CA,95628,38.65,-121.25,"$27,548.00 ","$56,164.00 ","$15,224.00 ",761,2,0,1,Debit,`4857799018106610,21-Jul,`930,YES,"$25,499.00 ",20-Feb,2020,No
10,Antonio Ryan,27,66,1992,6,Male,888 Fifth Lane Apt. 10,Fair Oaks,CA,95628,38.65,-121.25,"$27,548.00 ","$56,164.00 ","$15,224.00 ",761,2,1,1,Debit,`4324062360619920,20-Feb,`358,YES,"$18,641.00 ",20-Feb,2020,No
11,Elliot Edwards,29,63,1990,9,Female,8677 Littlewood Lane,Greeley,CO,80634,40.42,-104.74,"$22,427.00 ","$45,727.00 ","$94,016.00 ",629,1,0,1,Debit,`4852639114720720,23-May,`995,YES,"$26,019.00 ",20-Jan,2020,No
12,Romina Garcia,18,67,2002,1,Female,829 Fourth Boulevard,Cranston,RI,2921,41.76,-71.48,"$33,914.00 ","$69,149.00 ","$89,214.00 ",776,1,0,1,Debit,`5656383455895230,21-Jan,`547,YES,"$25,845.00 ",20-Feb,2020,No
13,Keanu Chen,34,62,1985,10,Male,74786 Jefferson Drive,Traverse City,MI,49686,44.75,-85.6,"$20,325.00 ","$41,442.00 ","$78,833.00 ",712,3,0,2,Debit,`4556928160477220,23-Jun,`064,YES,"$2,365.00 ",7-Jan,2009,No
13,Keanu Chen,34,62,1985,10,Male,74786 Jefferson Drive,Traverse City,MI,49686,44.75,-85.6,"$20,325.00 ","$41,442.00 ","$78,833.00 ",712,3,1,2,Debit,`5515782790823580,23-Jun,`419,YES,"$18,684.00 ",6-Jul,2017,No
13,Keanu Chen,34,62,1985,10,Male,74786 Jefferson Drive,Traverse City,MI,49686,44.75,-85.6,"$20,325.00 ","$41,442.00 ","$78,833.00 ",712,3,2,2,Credit,`4508388296516450,21-Feb,`364,NO,"$7,400.00 ",20-Feb,2020,No
14,Poppy Flores,48,62,1971,5,Female,781 East Street,San Antonio,TX,78207,29.45,-98.5,"$10,059.00 ","$20,513.00 ","$32,509.00 ",599,1,0,2,Debit,`5548265564669330,24-Dec,`145,YES,"$4,147.00 ",8-Dec,2016,No
15,Riya Cruz,41,68,1978,4,Female,40 Washington Drive,Boise City,OK,73933,36.73,-102.51,"$11,342.00 ","$23,123.00 ","$5,079.00 ",723,6,0,1,Debit (Prepaid),`4986270376099440,22-Apr,`385,YES,$76.00 ,12-Dec,2012,No
15,Riya Cruz,41,68,1978,4,Female,40 Washington Drive,Boise City,OK,73933,36.73,-102.51,"$11,342.00 ","$23,123.00 ","$5,079.00 ",723,6,1,1,Credit,`6726060094896110,9-Jan,`105,NO,"$4,700.00 ",8-Dec,2014,No
15,Riya Cruz,41,68,1978,4,Female,40 Washington Drive,Boise City,OK,73933,36.73,-102.51,"$11,342.00 ","$23,123.00 ","$5,079.00 ",723,6,2,2,Credit,`4157109762296140,21-Jun,`433,YES,"$5,800.00 ",7-Aug,2011,No
15,Riya Cruz,41,68,1978,4,Female,40 Washington Drive,Boise City,OK,73933,36.73,-102.51,"$11,342.00 ","$23,123.00 ","$5,079.00 ",723,6,3,2,Debit,`5231462717450520,24-Mar,`754,YES,"$12,082.00 ",16-Aug,2016,No
15,Riya Cruz,41,68,1978,4,Female,40 Washington Drive,Boise City,OK,73933,36.73,-102.51,"$11,342.00 ","$23,123.00 ","$5,079.00 ",723,6,4,2,Credit,`5074836567307560,23-Mar,`741,NO,"$6,000.00 ",2-Jun,2010,No
15,Riya Cruz,41,68,1978,4,Female,40 Washington Drive,Boise City,OK,73933,36.73,-102.51,"$11,342.00 ","$23,123.00 ","$5,079.00 ",723,6,5,1,Debit,`4986369179342270,9-Nov,`367,YES,$620.00 ,2-Feb,2014,No
16,Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,Henderson,TX,75652,32.15,-94.79,"$17,898.00 ","$36,497.00 ","$38,333.00 ",719,6,0,1,Debit,`5892013969159900,22-Aug,`879,YES,"$14,499.00 ",8-Jan,2008,No
16,Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,Henderson,TX,75652,32.15,-94.79,"$17,898.00 ","$36,497.00 ","$38,333.00 ",719,6,1,2,Debit,`5179157151686140,23-Jul,`457,YES,"$12,332.00 ",7-Aug,2009,No
16,Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,Henderson,TX,75652,32.15,-94.79,"$17,898.00 ","$36,497.00 ","$38,333.00 ",719,6,2,1,Debit,`5569640141329520,24-Sep,`904,YES,"$18,424.00 ",13-Aug,2013,No
16,Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,Henderson,TX,75652,32.15,-94.79,"$17,898.00 ","$36,497.00 ","$38,333.00 ",719,6,3,1,Credit,`4708914311449290,23-Jul,`149,NO,"$15,400.00 ",3-Aug,2008,No
16,Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,Henderson,TX,75652,32.15,-94.79,"$17,898.00 ","$36,497.00 ","$38,333.00 ",719,6,4,2,Debit,`4795724941278910,22-Feb,`136,YES,"$14,548.00 ",7-Aug,2013,No
16,Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,Henderson,TX,75652,32.15,-94.79,"$17,898.00 ","$36,497.00 ","$38,333.00 ",719,6,5,2,Credit,`5300159511214990,16-Dec,`740,YES,"$10,100.00 ",16-Sep,2016,No
17,Anahi Rogers,76,71,1943,8,Female,172 Birch Street Apt. 9,Flagstaff,AZ,86004,35.29,-111.32,"$21,950.00 ","$27,484.00 ","$16,803.00 ",660,4,0,1,Credit,`6580244636542190,11-Apr,`416,YES,"$11,200.00 ",4-Feb,2008,No
17,Anahi Rogers,76,71,1943,8,Female,172 Birch Street Apt. 9,Flagstaff,AZ,86004,35.29,-111.32,"$21,950.00 ","$27,484.00 ","$16,803.00 ",660,4,1,2,Debit,`5032457975030960,24-Oct,`240,YES,"$20,291.00 ",9-Dec,2011,No
17,Anahi Rogers,76,71,1943,8,Female,172 Birch Street Apt. 9,Flagstaff,AZ,86004,35.29,-111.32,"$21,950.00 ","$27,484.00 ","$16,803.00 ",660,4,2,1,Debit,`4382324870900900,18-Aug,`852,YES,"$32,092.00 ",6-Jan,2010,No
17,Anahi Rogers,76,71,1943,8,Female,172 Birch Street Apt. 9,Flagstaff,AZ,86004,35.29,-111.32,"$21,950.00 ","$27,484.00 ","$16,803.00 ",660,4,3,1,Debit,`5456808094753900,20-Feb,`217,YES,"$20,463.00 ",20-Jan,2020,No
18,Cayden Rivera,22,68,1997,11,Male,8145 Spruce Boulevard Apt. 635,Charlotte,NC,28269,35.19,-80.83,"$26,481.00 ","$53,995.00 ","$89,056.00 ",683,3,0,1,Debit,`4465362453388900,22-Aug,`738,YES,"$15,802.00 ",20-Jan,2020,No
18,Cayden Rivera,22,68,1997,11,Male,8145 Spruce Boulevard Apt. 635,Charlotte,NC,28269,35.19,-80.83,"$26,481.00 ","$53,995.00 ","$89,056.00 ",683,3,1,2,Debit,`4668447208616690,20-Feb,`314,NO,"$4,612.00 ",20-Feb,2020,No
18,Cayden Rivera,22,68,1997,11,Male,8145 Spruce Boulevard Apt. 635,Charlotte,NC,28269,35.19,-80.83,"$26,481.00 ","$53,995.00 ","$89,056.00 ",683,3,2,2,Credit,`6377595394803320,20-Jul,`675,YES,"$19,900.00 ",20-Jan,2020,No
19,Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,Tucson,AZ,85711,32.21,-110.88,"$17,460.00 ","$35,602.00 ","$55,369.00 ",661,5,0,1,Debit (Prepaid),`5117090980312400,20-Oct,`042,YES,$73.00 ,Feb-00,2012,No
19,Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,Tucson,AZ,85711,32.21,-110.88,"$17,460.00 ","$35,602.00 ","$55,369.00 ",661,5,1,1,Debit,`5377858405611170,24-Jan,`024,YES,"$11,858.00 ",9-Sep,2010,No
19,Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,Tucson,AZ,85711,32.21,-110.88,"$17,460.00 ","$35,602.00 ","$55,369.00 ",661,5,2,1,Debit,`5585238056278280,5-Mar,`749,YES,"$9,664.00 ",Jan-98,2011,No
19,Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,Tucson,AZ,85711,32.21,-110.88,"$17,460.00 ","$35,602.00 ","$55,369.00 ",661,5,3,1,Debit,`5355281784290560,20-Jun,`810,YES,"$8,367.00 ",9-Mar,2009,No
19,Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,Tucson,AZ,85711,32.21,-110.88,"$17,460.00 ","$35,602.00 ","$55,369.00 ",661,5,4,2,Credit,`4150093118072730,22-Jun,`135,YES,"$6,100.00 ",4-Feb,2009,No
20,Blaine Murphy,28,57,1991,8,Male,2473 Lake Avenue Apt. 6,Helena,GA,31037,32.07,-82.91,"$12,321.00 ","$25,122.00 ","$43,205.00 ",819,3,0,3,Debit,`5979295728871780,20-Feb,`630,YES,"$9,944.00 ",20-Feb,2020,No
20,Blaine Murphy,28,57,1991,8,Male,2473 Lake Avenue Apt. 6,Helena,GA,31037,32.07,-82.91,"$12,321.00 ","$25,122.00 ","$43,205.00 ",819,3,1,1,Credit,`4473643731469830,20-Jan,`771,YES,"$7,900.00 ",20-Jan,2020,No
20,Blaine Murphy,28,57,1991,8,Male,2473 Lake Avenue Apt. 6,Helena,GA,31037,32.07,-82.91,"$12,321.00 ","$25,122.00 ","$43,205.00 ",819,3,2,1,Credit,`4800116569994470,20-Dec,`201,YES,"$5,600.00 ",20-Feb,2020,No
21,Grayson Diaz,18,65,2002,1,Male,970 Essex Drive Apt. 39,Portola Valley,CA,94028,37.37,-122.21,"$106,305.00 ","$216,740.00 ",$0.00 ,700,2,0,1,Debit,`4832328468851060,23-Aug,`580,YES,"$68,400.00 ",20-Jan,2020,No
21,Grayson Diaz,18,65,2002,1,Male,970 Essex Drive Apt. 39,Portola Valley,CA,94028,37.37,-122.21,"$106,305.00 ","$216,740.00 ",$0.00 ,700,2,1,2,Debit,`5278075482033390,23-Apr,`437,YES,"$77,237.00 ",20-Jan,2020,No
22,Yadiel Miller,76,66,1943,6,Male,9186 Washington Avenue,Cleveland,OH,44134,41.47,-81.67,"$19,524.00 ","$41,109.00 ","$21,486.00 ",698,2,0,2,Debit,`4869845530765330,24-Aug,`701,YES,"$4,488.00 ",2-Jul,2015,No
22,Yadiel Miller,76,66,1943,6,Male,9186 Washington Avenue,Cleveland,OH,44134,41.47,-81.67,"$19,524.00 ","$41,109.00 ","$21,486.00 ",698,2,1,2,Credit,`4231526239204030,20-Feb,`499,YES,"$12,500.00 ",14-Nov,2014,No
23,Roland King,70,64,1949,4,Male,5073 Wessex Avenue,Tyronza,AR,72386,35.49,-90.35,"$14,172.00 ","$26,858.00 ","$11,245.00 ",712,2,0,2,Debit,`5813611925507600,20-Dec,`734,YES,"$23,432.00 ",1-Sep,2008,No
23,Roland King,70,64,1949,4,Male,5073 Wessex Avenue,Tyronza,AR,72386,35.49,-90.35,"$14,172.00 ","$26,858.00 ","$11,245.00 ",712,2,1,2,Credit,`366520954874839,22-May,`447,YES,"$8,800.00 ",5-May,2011,No
24,Cole Xi,45,65,1975,1,Male,195 Eighth Boulevard,Central Point,OR,97502,42.39,-122.93,"$17,131.00 ","$34,929.00 ","$63,849.00 ",714,1,0,2,Credit,`5392697458480960,20-Feb,`886,YES,"$12,100.00 ",20-Feb,2020,No
25,Jade Green,36,63,1983,8,Female,801 Mill Boulevard,Mesa,AZ,85201,33.44,-111.85,"$16,829.00 ","$34,317.00 ","$61,826.00 ",610,3,0,1,Debit,`5048151330736420,20-Feb,`931,YES,"$9,708.00 ",20-Jan,2020,No
25,Jade Green,36,63,1983,8,Female,801 Mill Boulevard,Mesa,AZ,85201,33.44,-111.85,"$16,829.00 ","$34,317.00 ","$61,826.00 ",610,3,1,2,Credit,`371643368691556,21-Nov,`683,YES,"$12,000.00 ",9-Jul,2011,No
25,Jade Green,36,63,1983,8,Female,801 Mill Boulevard,Mesa,AZ,85201,33.44,-111.85,"$16,829.00 ","$34,317.00 ","$61,826.00 ",610,3,2,1,Debit,`5700734711260260,23-Nov,`230,YES,"$11,973.00 ",12-Mar,2012,No
26,Amaya Stewart,40,66,1979,4,Female,6914 Wessex Avenue Apt. 7043,Houston,TX,77061,29.76,-95.38,"$15,389.00 ","$31,377.00 ","$59,615.00 ",722,2,0,2,Debit,`5389442391430670,22-Feb,`658,YES,"$13,601.00 ",6-Oct,2014,No
26,Amaya Stewart,40,66,1979,4,Female,6914 Wessex Avenue Apt. 7043,Houston,TX,77061,29.76,-95.38,"$15,389.00 ","$31,377.00 ","$59,615.00 ",722,2,1,2,Credit,`5079116875907420,24-Jan,`849,YES,"$7,800.00 ",20-Feb,2020,No
27,Grant Gray,37,58,1982,9,Male,776 Norfolk Boulevard,Van Nuys,CA,91411,34.17,-118.46,"$21,402.00 ","$43,638.00 ","$104,052.00 ",627,1,0,2,Debit,`4390425683290560,23-Oct,`790,YES,"$17,816.00 ",8-Aug,2016,No
28,Oliver Reed,41,67,1978,11,Male,2015 Bayview Avenue Apt. 8,Cookeville,TN,38501,36.15,-85.5,"$15,955.00 ","$32,531.00 ","$38,260.00 ",766,2,0,2,Debit,`5217568630125700,21-Mar,`625,NO,"$17,707.00 ",10-Oct,2010,No
28,Oliver Reed,41,67,1978,11,Male,2015 Bayview Avenue Apt. 8,Cookeville,TN,38501,36.15,-85.5,"$15,955.00 ","$32,531.00 ","$38,260.00 ",766,2,1,1,Credit,`397856635669220,20-Nov,`002,YES,"$9,500.00 ",5-May,2009,No
29,Aminah Collins,37,72,1983,2,Female,108 Washington Street Apt. 65,Whites Creek,TN,37189,36.28,-86.83,"$20,657.00 ","$42,120.00 ","$72,801.00 ",739,4,0,1,Debit,`5529182104663860,22-Jan,`182,YES,"$19,110.00 ",10-May,2011,No
29,Aminah Collins,37,72,1983,2,Female,108 Washington Street Apt. 65,Whites Creek,TN,37189,36.28,-86.83,"$20,657.00 ","$42,120.00 ","$72,801.00 ",739,4,1,1,Debit,`5489017664251280,23-Aug,`196,YES,"$13,428.00 ",16-Oct,2016,No
29,Aminah Collins,37,72,1983,2,Female,108 Washington Street Apt. 65,Whites Creek,TN,37189,36.28,-86.83,"$20,657.00 ","$42,120.00 ","$72,801.00 ",739,4,2,1,Debit,`5793675314684780,22-Jun,`043,YES,"$24,608.00 ",5-Aug,2009,No
29,Aminah Collins,37,72,1983,2,Female,108 Washington Street Apt. 65,Whites Creek,TN,37189,36.28,-86.83,"$20,657.00 ","$42,120.00 ","$72,801.00 ",739,4,3,1,Debit,`5845373196638990,22-Sep,`111,YES,"$13,441.00 ",8-Jan,2011,No
30,Ulises Neufelder,18,64,2001,5,Male,660 Seventh Drive Apt. 6,Columbus,OH,43230,39.98,-82.98,"$28,092.00 ","$57,281.00 ","$89,114.00 ",850,1,0,2,Debit (Prepaid),`5750288075891800,20-Feb,`788,YES,$74.00 ,20-Jan,2020,No
31,Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,Miami,FL,33175,25.77,-80.2,"$18,828.00 ","$38,390.00 ","$87,923.00 ",783,4,0,1,Debit,`5429789020188280,12-Oct,`674,YES,"$17,872.00 ",8-Jun,2008,No
31,Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,Miami,FL,33175,25.77,-80.2,"$18,828.00 ","$38,390.00 ","$87,923.00 ",783,4,1,1,Credit,`5301114615829910,22-Sep,`425,YES,"$12,900.00 ",3-Dec,2010,No
31,Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,Miami,FL,33175,25.77,-80.2,"$18,828.00 ","$38,390.00 ","$87,923.00 ",783,4,2,2,Debit,`5571104183564020,24-May,`052,YES,"$25,264.00 ",6-Mar,2020,No
31,Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,Miami,FL,33175,25.77,-80.2,"$18,828.00 ","$38,390.00 ","$87,923.00 ",783,4,3,2,Debit,`5401948301255030,22-Dec,`920,YES,"$20,634.00 ",5-Mar,2007,No
32,Madalynn Gutierrez,33,69,1986,9,Female,4930 Birch Drive,Southport,NC,28461,33.92,-78.02,"$17,498.00 ","$35,670.00 ","$58,182.00 ",751,2,0,2,Credit,`4295364044956970,7-Apr,`656,YES,"$12,200.00 ",6-Dec,2010,No
32,Madalynn Gutierrez,33,69,1986,9,Female,4930 Birch Drive,Southport,NC,28461,33.92,-78.02,"$17,498.00 ","$35,670.00 ","$58,182.00 ",751,2,1,2,Credit,`4737484014371340,10-Feb,`221,YES,"$5,500.00 ",8-Jan,2008,No
33,Rosa Faraday,21,66,1998,9,Female,93 Plum Lane,Old Saybrook,CT,6475,41.29,-72.36,"$30,281.00 ","$61,746.00 ","$154,817.00 ",637,2,0,2,Credit,`4509365132510760,20-Mar,`281,NO,"$6,600.00 ",20-Feb,2020,No
33,Rosa Faraday,21,66,1998,9,Female,93 Plum Lane,Old Saybrook,CT,6475,41.29,-72.36,"$30,281.00 ","$61,746.00 ","$154,817.00 ",637,2,1,1,Debit,`5068255294282300,20-Nov,`890,YES,"$25,815.00 ",17-Dec,2017,No
34,Brynn Allen,47,65,1972,11,Female,837 Lincoln Avenue,Mobile,AL,36693,30.68,-88.04,"$21,331.00 ","$43,496.00 ","$114,563.00 ",765,3,0,2,Credit,`354813103334804,21-Jun,`527,YES,"$8,400.00 ",14-Jan,2014,No
34,Brynn Allen,47,65,1972,11,Female,837 Lincoln Avenue,Mobile,AL,36693,30.68,-88.04,"$21,331.00 ","$43,496.00 ","$114,563.00 ",765,3,1,1,Debit,`5910929635230860,20-Feb,`525,YES,"$21,628.00 ",1-Mar,2008,No
34,Brynn Allen,47,65,1972,11,Female,837 Lincoln Avenue,Mobile,AL,36693,30.68,-88.04,"$21,331.00 ","$43,496.00 ","$114,563.00 ",765,3,2,1,Debit,`5400182448188960,21-Oct,`412,YES,"$24,232.00 ",9-Jul,2009,No
35,Aden Adams,41,55,1978,8,Male,7467 Spruce Drive,Sacramento,CA,95829,38.48,-121.34,"$25,431.00 ","$51,854.00 ","$72,162.00 ",737,2,0,2,Debit,`5039048842448180,23-Nov,`339,YES,"$10,775.00 ",9-Feb,2010,No
